"PXD","样本组","行标签","材料类型","逐蛋白身份审计状态","定量可用","定量样本数","定量层级","使用的定量字段","定量Kla特征数","定量调控蛋白数","调控蛋白身份匹配","GeneSymbol回退数","跨研究热图数值","可做PXD内Z分数","严格配对分析纳入","严格配对排除原因","限制或不可用原因","定量来源文件"
"PXD063047","severe preeclampsia placenta","重度子痫前期胎盘 · PXD063047","preeclampsia placenta tissue","逐蛋白可审计",TRUE,3,"Kla_site","MaxQuant site Intensity",202,1,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,FALSE,"没有完全匹配且可审计的普通全蛋白参照；保留Kla原始审计，但不进入配对热图和后续对照分析。","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt"
"PXD066054","prostate cancer","前列腺癌 · PXD066054","prostate cancer tissue","逐蛋白可审计",TRUE,5,"Kla_site","Spectronaut PTM.Quantity",2108,15,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv"
"PXD075377","HCC","肝细胞癌 · PXD075377","HCC tissue","逐蛋白可审计",TRUE,1,"Kla_site","author site Intensity",1798,13,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt"
"PXD037371","nonmetastatic HCC","非转移性HCC · PXD037371","HCC tissue","组别无法拆分",FALSE,0,"","",0,0,"UniProt BaseAccession only",0,"",FALSE,FALSE,"Kla本身没有可用的逐组定量值；保留原始审计，但不进入配对分析。","位点表含TMT reporter intensity，但当前缺少三类临床组与通道的可靠映射，不能拆分到对应组织组。",""
"PXD037371","lung-metastatic HCC","肺转移HCC · PXD037371","HCC tissue with lung metastasis","组别无法拆分",FALSE,0,"","",0,0,"UniProt BaseAccession only",0,"",FALSE,FALSE,"Kla本身没有可用的逐组定量值；保留原始审计，但不进入配对分析。","位点表含TMT reporter intensity，但当前缺少三类临床组与通道的可靠映射，不能拆分到对应组织组。",""
"PXD064038","MEC and NEC ESCC groups","ESCC MEC/NEC组 · PXD064038","ESCC tumor tissue","逐蛋白可审计",TRUE,6,"Kla_site","MaxQuant site Intensity",1044,10,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,FALSE,"没有完全匹配且可审计的普通全蛋白参照；保留Kla原始审计，但不进入配对热图和后续对照分析。","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD064038/search_results/extracted_pairing/txt/txt/La (K)Sites.txt"
"PXD028488","HEK293T","HEK293T · PXD028488","immortalized embryonic kidney cell line","逐蛋白可审计",TRUE,5,"modified_peptide","PEAKS peptide Area",245,0,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-all HCD-Search files/protein-peptides.csv"
"PXD028737","HMC3","HMC3 · PXD028737","human microglial cell line","逐蛋白可审计",TRUE,2,"Kla_site","MaxQuant site Intensity",1276,15,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD028737/search_results/extracted_pairing/combined/combined/txt/La(K)Sites.txt"
"PXD055230","human fibroblasts mock and HCMV or HSV-1","人成纤维细胞 mock/HCMV/HSV-1 · PXD055230","primary human fibroblast culture","逐蛋白可审计",TRUE,9,"modified_precursor","Spectronaut Precursor.Quantity",6231,30,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD055230/search_results/LaIP_HSV1_DIA.tsv"
"PXD057709","human fibroblasts mock and HCMV","人成纤维细胞 mock/HCMV · PXD057709","primary human fibroblast culture","逐蛋白可审计",TRUE,18,"modified_precursor","Spectronaut Precursor.Quantity",5817,32,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD057709/search_results/LaIP_report.tsv"
"PXD058534","pretreated HK-2","预处理HK-2 · PXD058534","immortalized proximal tubule cell line","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",1943,23,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD058534/search_results/extracted_pairing/txt/La (K)Sites.txt"
"PXD078736","HK-2 control and mannitol","HK-2对照/甘露醇 · PXD078736","immortalized proximal tubule cell line","逐蛋白可审计",TRUE,6,"Kla_site","MaxQuant site Intensity",1250,15,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD078736/search_results/txt/La(K)Sites.txt"
"PXD060185","MCF10A","MCF10A · PXD060185","non-tumorigenic immortalized mammary cell line","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",933,12,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt"
"PXD070007","neural stem cells","神经干细胞 · PXD070007","normal neural stem-cell cultures","逐蛋白可审计",TRUE,2,"Kla_site","author annotation sample intensity",1527,17,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx"
"PXD073311","HUVEC control and Pg infection","HUVEC对照/Pg感染 · PXD073311","primary human endothelial cell culture","逐蛋白可审计",TRUE,6,"modified_precursor","Spectronaut precursor matrix quantity",1881,16,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD073311/search_results/extracted_pairing/IPX0015307003_Database_search_result/Database_search_result/report.pr_matrix.tsv"
"PXD075014","AC16 control and hypoxia","AC16对照/低氧 · PXD075014","human cardiomyocyte cell line","逐蛋白可审计",TRUE,6,"modified_peptide","author TMT peptide abundance",476,6,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,FALSE,"没有完全匹配且可审计的普通全蛋白参照；保留Kla原始审计，但不进入配对热图和后续对照分析。","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD075014/supplementary/Table2.XLSX"
"PXD014870","MCF7","MCF7 · PXD014870","breast cancer cell line","逐蛋白可审计",TRUE,4,"Kla_site","MaxQuant site Intensity",183,1,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD014870/search_results/MCF7_DCA_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt;data/PXD014870/search_results/MCF7_Hypoxia_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt;data/PXD014870/search_results/MCF7_Rotenone_SILAC_Kla_IP/txt/Lactyl (K)Sites.txt;data/PXD014870/search_results/MCF7_U_13C6_Glucose_Kla_IP/txt/Lactyl (K)Sites.txt"
"PXD060185","MCF7","MCF7 · PXD060185","breast cancer cell line","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",1238,15,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt"
"PXD028488","HCT116","HCT116 · PXD028488","colorectal cancer cell line","逐蛋白可审计",TRUE,1,"modified_peptide","PEAKS peptide Area",229,0,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/protein-peptides.csv"
"PXD053474","HCT116","HCT116 · PXD053474","colorectal cancer cell line","逐蛋白可审计",TRUE,24,"Kla_site;modified_peptide","PEAKS peptide Area;Spectronaut PTM.Quantity",966,6,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","同一PXD包含多个测量层级；保留来源并仅用组内百分位汇总，不直接比较原始强度。","data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Cytoplasm-Lactylation-Fraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Membrane-Lactylation-Fraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Mitochondrion-Lactylation-Fraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Nucleus-Lactylation-Fraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-Fraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DDA/protein-peptides.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Cytoplasm-Lactylation-Fraction-DIA/Cytoplasm-Lactylation-DIA-ptm-site__Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Membrane-Lactylation-Fraction-DIA/Membrane-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Mitochondrion-Lactylation-Fraction-DIA/Mitochondria-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Nucleus-Lactylation-Fraction-DIA/Nucleus-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-Fraction-DIA/Whole-cell-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DIA/Whole-cell-Lactylation-DIA-NoFrac-ptm-site_Report.tsv"
"PXD066351","HCT116 control and Roseburia co-culture","HCT116对照/Roseburia共培养 · PXD066351","colorectal cancer cell line","逐蛋白可审计",TRUE,2,"Kla_site","MSstats Lac(K) PTM.Quantity",2398,22,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv"
"PXD028488","TALL-104","TALL-104 · PXD028488","T lymphoblastic leukemia cell line","逐蛋白可审计",TRUE,3,"modified_peptide","PEAKS peptide Area",249,0,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD028488/search_results/Enrichment-Search files/TALL-NALAC-Search files/protein-peptides.csv"
"PXD050147","HepG2 WT and SIRT1 or SIRT3 KO","HepG2 WT/SIRT1-KO/SIRT3-KO · PXD050147","hepatocellular carcinoma cell line","逐蛋白可审计",TRUE,9,"Kla_site","MaxQuant site Intensity",2349,22,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD050147/search_results/Lactyl_K_Sites.txt"
"PXD054919","A549","A549 · PXD054919","lung adenocarcinoma cell line","逐蛋白可审计",TRUE,3,"Kla_site","author site Intensity",1220,12,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx"
"PXD060185","MDA-MB-468","MDA-MB-468 · PXD060185","triple-negative breast cancer cell line","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",1615,18,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt"
"PXD060185","T-47D","T-47D · PXD060185","breast cancer cell line","逐蛋白可审计",TRUE,1,"Kla_site","MaxQuant site Intensity",1296,17,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",FALSE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt"
"PXD063266","PC-3M","PC-3M · PXD063266","prostate cancer cell line","逐蛋白可审计",TRUE,3,"Kla_site","MaxQuant site Intensity",358,4,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD063266/search_results/LactylSites.xlsx"
"PXD070007","glioblastoma stem cells","胶质母细胞瘤干细胞 · PXD070007","glioblastoma stem-cell cultures","逐蛋白可审计",TRUE,6,"Kla_site","author annotation sample intensity",2564,22,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx"
"PXD078013","RKO WT and GSK3B KO","RKO WT/GSK3B-KO · PXD078013","colorectal cancer cell line","逐蛋白可审计",TRUE,4,"modified_peptide","MaxQuant evidence Intensity",1212,12,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,TRUE,"","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD078013/search_results/evidence.txt"
"PXD062720","bladder cancer cells treated with EPI","EPI处理膀胱癌细胞 · PXD062720","bladder cancer cell model","逐蛋白可审计",TRUE,2,"Kla_site","MaxQuant site Intensity",2083,22,"UniProt BaseAccession only",0,"每个定量样本内log2(signal+1)后按全部Kla特征计算百分位，再对本样本组取中位数",TRUE,FALSE,"没有完全匹配且可审计的普通全蛋白参照；保留Kla原始审计，但不进入配对热图和后续对照分析。","不同PXD的原始数值不可直接比较；跨研究只解释为组内相对Kla信号。","data/PXD062720/search_results/extracted_pairing/txt/La (K)Sites.txt"
