PXD,SampleGroup,DisplayLabel,BiologicalMaterial,KlaEvidenceFile,KlaProteinCount,KlaDdrProteinCount,KlaDdrFraction,PairedAnalysisIncluded,ReferencePXD,ReferenceEvidenceFile,ReferenceProteinCount,ReferenceDdrProteinCount,ReferenceDdrFraction,DdrFractionPercentagePointDifference,ReferenceMatchNote,MatchMode,SymbolFallbackCount,RowOrder,KlaLabelEn,KlaLabelZh,ReferenceLabelEn,ReferenceLabelZh,NamingBasis,Category,CategoryZh,CategoryEn,EnglishDisplayLabel
PXD075377,HCC,肝细胞癌组织 · PXD075377 / 原发性肝细胞癌组织 · PXD065775,HCC tissue,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,1798,121,0.0672969966629588,TRUE,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,5188,271,0.0522359290670779,0.015061067595881,疾病组织精确匹配,BaseAccession_only,0,12,HCC tissue,肝细胞癌组织,Primary HCC tissue,原发性肝细胞癌组织,Independent CISs HCC cohort,cancer_tissue,肿瘤组织,tumor tissues,HCC tissue · PXD075377 / Primary HCC tissue · PXD065775
PXD060185,MCF7,MCF7细胞 · PXD060185 / MCF7细胞 · PXD030304,breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1235,132,0.106882591093117,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,3099,209,0.0674411100354953,0.0394414810576221,精确细胞系匹配,BaseAccession_only,0,14,MCF7 cells,MCF7细胞,MCF7 cells,MCF7细胞,Independent cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,MCF7 cells · PXD060185 / MCF7 cells · PXD030304
PXD028488,HCT116,HCT116细胞 · PXD028488 / HCT116细胞 · PXD030304,colorectal cancer cell line,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,240,30,0.125,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,4010,273,0.0680798004987531,0.0569201995012469,精确细胞系匹配,BaseAccession_only,0,15,HCT116 cells,HCT116细胞,HCT116 cells,HCT116细胞,Independent cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,HCT116 cells · PXD028488 / HCT116 cells · PXD030304
PXD053474,HCT116,HCT116细胞（亚细胞分级） · PXD053474 / HCT116细胞 · PXD030304,colorectal cancer cell line,data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Cytoplasm-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Membrane-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Mitochondrion-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Nucleus-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Cytoplasm-Lactylation-Fraction-DIA/Cytoplasm-Lactylation-DIA-ptm-site__Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Membrane-Lactylation-Fraction-DIA/Membrane-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Mitochondrion-Lactylation-Fraction-DIA/Mitochondria-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Nucleus-Lactylation-Fraction-DIA/Nucleus-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-Fraction-DIA/Whole-cell-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DIA/Whole-cell-Lactylation-DIA-NoFrac-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Cytoplasm-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Membrane-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Mitochondrion-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Nucleus-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Whole-cell-lysates-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Cytoplasm-DIA-input/Cytoplasm-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Membrane-DIA-input/Membrane-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Mitochondrion-DIA-input/Mitochondria-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Nucleus-DIA-input/Nucleus-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Whole-cell-lysates-DIA-input/Whole-cell-DIA-input-ptm-site_Report.tsv;data/PXD053474/supplementary/js4c00366_si_003.xlsx,590,65,0.110169491525424,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,4010,273,0.0680798004987531,0.0420896910266706,精确细胞系匹配,BaseAccession_only,0,16,HCT116 cells (subcellular fractions),HCT116细胞（亚细胞分级）,HCT116 cells,HCT116细胞,Kla subcellular fractionation with independent baseline reference,cancer_cells,癌细胞系,cancer cell lines,HCT116 cells (subcellular fractions) · PXD053474 / HCT116 cells · PXD030304
PXD066351,HCT116 control and Roseburia co-culture,HCT116细胞（对照与Roseburia共培养） · PXD066351 / HCT116细胞（对照与Roseburia共培养） · PXD066351,colorectal cancer cell line,data/PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,2398,253,0.105504587155963,TRUE,PXD066351,data/PXD066351/search_results/XB01472B1DA-Protein_Quant.tsv,8130,504,0.0619926199261993,0.043511967229764,同研究同样本精确匹配,BaseAccession_only,0,17,HCT116 cells (control and Roseburia co-culture),HCT116细胞（对照与Roseburia共培养）,HCT116 cells (control and Roseburia co-culture),HCT116细胞（对照与Roseburia共培养）,Same-study matched ordinary-proteome conditions,cancer_cells,癌细胞系,cancer cell lines,HCT116 cells (control and Roseburia co-culture) · PXD066351 / HCT116 cells (control and Roseburia co-culture) · PXD066351
PXD028488,TALL-104,TALL-104细胞（乳酸钠处理） · PXD028488 / TALL-104细胞（乳酸钠处理） · PXD028488,T lymphoblastic leukemia cell line,data/PXD028488/search_results/Enrichment-Search files/TALL-NALAC-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/DB search psm.csv,368,37,0.10054347826087,TRUE,PXD028488,data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/proteins.csv,3734,253,0.0677557579003749,0.0327877203604946,同研究同样本精确匹配,BaseAccession_only,0,18,TALL-104 cells (sodium lactate),TALL-104细胞（乳酸钠处理）,TALL-104 cells (sodium lactate),TALL-104细胞（乳酸钠处理）,Same-study lactate-exposed non-enriched arm,cancer_cells,癌细胞系,cancer cell lines,TALL-104 cells (sodium lactate) · PXD028488 / TALL-104 cells (sodium lactate) · PXD028488
PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,HepG2细胞（WT、SIRT1 KO与SIRT3 KO） · PXD050147 / HepG2细胞（WT、SIRT1 KO与SIRT3 KO） · PXD050147,hepatocellular carcinoma cell line,data/PXD050147/search_results/Lactyl_K_Sites.txt,2602,285,0.109531129900077,TRUE,PXD050147,data/PXD050147/search_results/SIRT_proteinGroups.txt,6772,450,0.0664500886001181,0.0430810412999587,同研究但方法属性需确认,BaseAccession_only,0,19,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",HepG2细胞（WT、SIRT1 KO与SIRT3 KO）,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",HepG2细胞（WT、SIRT1 KO与SIRT3 KO）,Same-study protein background with matched genotypes,cancer_cells,癌细胞系,cancer cell lines,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO) · PXD050147 / HepG2 cells (WT, SIRT1 KO and SIRT3 KO) · PXD050147"
PXD054919,A549,A549细胞 · PXD054919 / A549细胞 · PXD030304,lung adenocarcinoma cell line,data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,1220,116,0.0950819672131148,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,3448,226,0.0655452436194896,0.0295367235936252,精确细胞系匹配,BaseAccession_only,0,20,A549 cells,A549细胞,A549 cells,A549细胞,Independent cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,A549 cells · PXD054919 / A549 cells · PXD030304
PXD060185,MDA-MB-468,MDA-MB-468细胞 · PXD060185 / MDA-MB-468细胞 · PXD030304,triple-negative breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1612,196,0.121588089330025,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,3760,230,0.0611702127659574,0.0604178765640674,精确细胞系匹配,BaseAccession_only,0,21,MDA-MB-468 cells,MDA-MB-468细胞,MDA-MB-468 cells,MDA-MB-468细胞,Independent cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,MDA-MB-468 cells · PXD060185 / MDA-MB-468 cells · PXD030304
PXD060185,T-47D,T-47D细胞 · PXD060185 / T-47D细胞 · PXD030304,breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,1301,159,0.122213681783244,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,3516,228,0.0648464163822526,0.0573672654009911,精确细胞系匹配,BaseAccession_only,0,22,T-47D cells,T-47D细胞,T-47D cells,T-47D细胞,Independent cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,T-47D cells · PXD060185 / T-47D cells · PXD030304
PXD063266,PC-3M,PC-3M细胞 · PXD063266 / 重SILAC标记的PC-3M细胞 · PXD022005,prostate cancer cell line,data/PXD063266/search_results/LactylSites.xlsx,384,41,0.106770833333333,TRUE,PXD022005,data/PXD022005/search_results/txt_proteomics.zip,8049,262,0.0325506274071313,0.074220205926202,精确细胞系匹配,BaseAccession_only,0,23,PC-3M cells,PC-3M细胞,Heavy SILAC-labeled PC-3M cells,重SILAC标记的PC-3M细胞,Independent heavy-channel SILAC reference,cancer_cells,癌细胞系,cancer cell lines,PC-3M cells · PXD063266 / Heavy SILAC-labeled PC-3M cells · PXD022005
PXD070007,glioblastoma stem cells,胶质母细胞瘤干细胞模型 · PXD070007 / 胶质母细胞瘤干细胞模型 · PXD069969,glioblastoma stem-cell cultures,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,2564,238,0.092823712948518,TRUE,PXD069969,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,8374,495,0.0591115357057559,0.033712177242762,同一生物样本精确匹配,BaseAccession_only,0,24,Glioblastoma stem-cell models,胶质母细胞瘤干细胞模型,Glioblastoma stem-cell models,胶质母细胞瘤干细胞模型,Same six GSC models,cancer_cells,癌细胞系,cancer cell lines,Glioblastoma stem-cell models · PXD070007 / Glioblastoma stem-cell models · PXD069969
PXD078013,RKO WT and GSK3B KO,RKO细胞（WT与GSK3B KO） · PXD078013 / RKO细胞 · PXD030304,colorectal cancer cell line,data/PXD078013/search_results/proteinGroups.txt;data/PXD078013/search_results/evidence.txt,1217,113,0.0928512736236647,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,3615,252,0.0697095435684647,0.0231417300552,精确细胞系匹配,BaseAccession_only,0,25,RKO cells (WT and GSK3B KO),RKO细胞（WT与GSK3B KO）,RKO cells,RKO细胞,Independent untreated cell-line baseline,cancer_cells,癌细胞系,cancer cell lines,RKO cells (WT and GSK3B KO) · PXD078013 / RKO cells · PXD030304
PXD028488,HEK293T,HEK293T细胞 · PXD028488 / HEK293T细胞（对照裂解物） · PXD030304,immortalized embryonic kidney cell line,data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD24-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD28-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD32-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD36-Search files/DB search psm.csv;data/PXD028488/search_results/Enrichment-Search files/HEK293T-Enrichment-HCD40-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD24-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD28-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD32-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD36-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/HEK293T-Nonenrichment-HCD40-Search files/DB search psm.csv,438,44,0.100456621004566,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt,6441,381,0.0591523055426176,0.0413043154619486,精确细胞系匹配,BaseAccession_only,0,28,HEK293T cells,HEK293T细胞,HEK293T cells (control lysate),HEK293T细胞（对照裂解物）,Independent control-lysate reference,normal_cells,正常细胞系,normal cell lines,HEK293T cells · PXD028488 / HEK293T cells (control lysate) · PXD030304
PXD028737,HMC3,HMC3细胞（常氧与低氧） · PXD028737 / HMC3细胞（常氧与低氧） · PXD028737,human microglial cell line,data/PXD028737/search_results/combined.zip,1410,157,0.111347517730496,TRUE,PXD028737,data/PXD028737/search_results/extracted_reference/txt/proteinGroups.txt,6132,425,0.0693085453359426,0.0420389723945539,同研究同样本精确匹配,BaseAccession_only,0,29,HMC3 cells (normoxia and hypoxia),HMC3细胞（常氧与低氧）,HMC3 cells (normoxia and hypoxia),HMC3细胞（常氧与低氧）,Same-study H0-H24 conditions,normal_cells,正常细胞系,normal cell lines,HMC3 cells (normoxia and hypoxia) · PXD028737 / HMC3 cells (normoxia and hypoxia) · PXD028737
PXD058534,pretreated HK-2,HK-2细胞（IR-CM处理） · PXD058534 / 未处理HK-2细胞 · PXD072220,immortalized proximal tubule cell line,data/PXD058534/search_results/txt.zip,2164,220,0.101663585951941,TRUE,PXD072220,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,4897,304,0.0620788237696549,0.039584762182286,精确细胞系匹配,BaseAccession_only,0,30,HK-2 cells (IR-CM treated),HK-2细胞（IR-CM处理）,Untreated HK-2 cells,未处理HK-2细胞,"Kla condition verified from Nature Communications 2025, DOI 10.1038/s41467-025-66991-3; independent untreated baseline reference",normal_cells,正常细胞系,normal cell lines,HK-2 cells (IR-CM treated) · PXD058534 / Untreated HK-2 cells · PXD072220
PXD078736,HK-2 control and mannitol,HK-2细胞（常氧与缺氧-复氧） · PXD078736 / 未处理HK-2细胞 · PXD072220,immortalized proximal tubule cell line,data/PXD078736/search_results/txt/La(K)Sites.txt,1250,132,0.1056,TRUE,PXD072220,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,4897,304,0.0620788237696549,0.0435211762303451,精确细胞系匹配,BaseAccession_only,0,31,HK-2 cells (normoxia and hypoxia-reoxygenation),HK-2细胞（常氧与缺氧-复氧）,Untreated HK-2 cells,未处理HK-2细胞,"Kla conditions verified from JCI 2026, DOI 10.1172/JCI201848; independent untreated baseline reference",normal_cells,正常细胞系,normal cell lines,HK-2 cells (normoxia and hypoxia-reoxygenation) · PXD078736 / Untreated HK-2 cells · PXD072220
PXD060185,MCF10A,MCF10A细胞 · PXD060185 / MCF10A细胞（基线） · PXD002400,non-tumorigenic immortalized mammary cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,947,115,0.121436114044351,TRUE,PXD002400,data/PXD002400/search_results/msms.zip,4839,242,0.0500103327133705,0.07142578133098,精确细胞系匹配,BaseAccession_only,0,32,MCF10A cells,MCF10A细胞,MCF10A cells (baseline),MCF10A细胞（基线）,Independent cell-line baseline,normal_cells,正常细胞系,normal cell lines,MCF10A cells · PXD060185 / MCF10A cells (baseline) · PXD002400
PXD070007,neural stem cells,神经干细胞模型 · PXD070007 / 神经干细胞模型 · PXD069969,normal neural stem-cell cultures,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,1527,173,0.113294040602489,TRUE,PXD069969,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,7246,459,0.0633452939552857,0.0499487466472029,同一生物样本精确匹配,BaseAccession_only,0,33,Neural stem-cell models,神经干细胞模型,Neural stem-cell models,神经干细胞模型,Same two NSC models,normal_cells,正常细胞系,normal cell lines,Neural stem-cell models · PXD070007 / Neural stem-cell models · PXD069969
PXD073311,HUVEC control and Pg infection,HUVEC（对照与Pg感染） · PXD073311 / HUVEC（A0h基线） · PXD073311,primary human endothelial cell culture,data/PXD073311/search_results/IPX0015307003_Database_search_result.zip,1911,184,0.0962846677132391,TRUE,PXD073311,data/PXD073311/search_results/extracted_pairing/IPX0015307001_Database_search_result/Database_search_result/report.pg_matrix.tsv,7794,512,0.0656915576084167,0.0305931101048224,同一生物样本精确匹配,BaseAccession_only,0,34,HUVECs (control and P. gingivalis infection),HUVEC（对照与Pg感染）,HUVECs (A0h baseline),HUVEC（A0h基线）,Same-study A0h ordinary-proteome baseline,normal_cells,正常细胞系,normal cell lines,HUVECs (control and P. gingivalis infection) · PXD073311 / HUVECs (A0h baseline) · PXD073311
