File,SHA256,Scope,Unit,Assessment,Evidence
Figure_2/Figure_2_DDR_pathway_summary_NHEJ_barplot.png,0b64724e8091362ee1ed626bfbc6dece43c00f3b76943120cfb8d88008ef4aac,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2a_whole_proteome_DDR_UpSet.png,afc70fc4aee2c80174454c8bc5b6d6912bd66e17ff7bdc304c084fb0f94b9f97,expanded31,unique UniProt BaseAccession membership,31-group scope verified; not sample plots,Hash provenance + source tables + PDF text + visual inspection
Figure_2/Figure_2b_Kla_DDR_UpSet.png,71c5bf3c30505650cc4dcbd035de8e0ce9f609484576edb79b44e644c0466a5e,expanded31,unique UniProt BaseAccession membership,31-group scope verified; not sample plots,Hash provenance + source tables + PDF text + visual inspection
Figure_2/Figure_2c_DDR_pathway_summary_BER_barplot.png,37dd4975f93f5ed3e1339de9b57b99a1619e2e63bbee291592a08a4fdbdf59a2,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2d_DDR_pathway_summary_NER_barplot.png,26e8056628f2022ccde92da67787555992bd979179d4e7b056b5ec98392486c1,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2e_DDR_pathway_summary_MMR_barplot.png,afadbeb900601687973d9713abfb55f9f6e0ce549ca525c5c75460acc2dc6913,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2f_DDR_pathway_summary_FA_barplot.png,fd8bf56b33539212cac0f13a46d27638197cf4c832f46981f2416065f8e33529,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2g_DDR_pathway_summary_HR_barplot.png,71c30344a94c8a919649113b92abacbcfe9dba948b23d0b9d649c7b0054f2d27,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2h_DDR_pathway_summary_AEJ_barplot.png,07e629a9446794e775b9d352c4608f2091216f2024327625ad1ded47bc9141e2,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_2/Figure_2i_DDR_pathway_summary_NHEJ_barplot.png,0b64724e8091362ee1ed626bfbc6dece43c00f3b76943120cfb8d88008ef4aac,baseline30,92 observations/direction: 66 sample + 26 other,Stale inputs; repeated-measures ANOVA error,Baseline candidate hash; tumor n=6 not 12; final statistics use NPoint=98
Figure_3/Figure_3a_reference_regulator_percentiles_no_frame.png,523997e09dd8ac0e8d2a238f5ffb7ce0cd2340d54876246f2cf0dc5b04499eae,expanded31,group-level median within-sample percentile,31 groups verified; missing/zero encoding caveat,ESCC row present; 1488 reference/1519 Kla input rows; 58/31 zero values have detections
Figure_3/Figure_3a_reference_regulator_percentiles.png,90004c1429a073f8a661301f4e22d741da5a5727c63c4dc6b4c3407a7e810d2b,expanded31,group-level median within-sample percentile,31 groups verified; missing/zero encoding caveat,ESCC row present; 1488 reference/1519 Kla input rows; 58/31 zero values have detections
Figure_3/Figure_3b_Kla_regulator_percentiles_no_frame.png,5596ca7dd730db5c3bcedd5c8e04aacb9f79377955d86ecb47043e7ef393f63c,expanded31,group-level median within-sample percentile,31 groups verified; missing/zero encoding caveat,ESCC row present; 1488 reference/1519 Kla input rows; 58/31 zero values have detections
Figure_3/Figure_3b_Kla_regulator_percentiles_with_blue_frame.png,defafceffc4917dc321cbab0e7c07cfab15a296a810a91f53c7ce4c56b237c5b,expanded31,group-level median within-sample percentile,31 groups verified; missing/zero encoding caveat,ESCC row present; 1488 reference/1519 Kla input rows; 58/31 zero values have detections
Figure_3/Figure_3b_Kla_regulator_percentiles.png,defafceffc4917dc321cbab0e7c07cfab15a296a810a91f53c7ce4c56b237c5b,expanded31,group-level median within-sample percentile,31 groups verified; missing/zero encoding caveat,ESCC row present; 1488 reference/1519 Kla input rows; 58/31 zero values have detections
Supplementary_Figure_S1/Figure_S1a_DDR_fraction_by_PXD.png,f836ca5bc185d63fe3b37e5b9937022be64a4abd21b464a92c4af7505c7795de,expanded31,310 observations: 272 sample + 38 other,31 groups verified; mixed observation units,Expanded default source; 31 labels; 94 WP + 6 Kla ESCC points
Supplementary_Figure_S1/Figure_S1b_MKI67_over_H3C1_11_detected_only.png,f53389c5b0ac1ef626c5599d75c11fa8fd7081d29b45e1d988acc6f96d599917,expanded31 quantifiable subset,80 observations: 79 sample + 1 aggregate across 11 groups,Current subset; non-sample/reused observations; ND label too broad,80 rows; ESCC n=45; remaining 20 groups lack valid ratio
Supplementary_Figure_S1/Figure_S1b_MKI67_over_H3C1_by_PXD.png,f3cd2cb4b16e8d379ccc55440830aab42d4dff3026436b406c9ab5d2accdd7b3,expanded31 quantifiable subset,80 observations: 79 sample + 1 aggregate across 11 groups,Current subset; non-sample/reused observations; ND label too broad,80 rows; ESCC n=45; remaining 20 groups lack valid ratio
Supplementary_Figure_S2/Figure_S2a_whole_proteome_UpSet.png,01a18b75a765deb30d21ac5c41f13c2de9787b3b9481ecaad68f6e1512c59ebd,expanded31,unique UniProt BaseAccession membership,31-group scope verified; not sample plots,Hash provenance + source tables + PDF text + visual inspection
Supplementary_Figure_S2/Figure_S2b_Kla_proteome_UpSet.png,9e8e2d7167b87fc2e914008b83fe706b5bce5c8db8913f57700faa15c8398b80,expanded31,unique UniProt BaseAccession membership,31-group scope verified; not sample plots,Hash provenance + source tables + PDF text + visual inspection
Supplementary_Figure_S3/Figure_S3a_DDR_pathway_matrix_tumor_tissues.png,d0bfc5f4406ac535064ac1531fcf4dd09169524c32a26b519bbc7abfa18f90ea,expanded31,unique Kla-DDR protein columns,31-group source verified; PNG title digits missing,Workbook membership/state checks; tumor192/non-tumor183/cancer381/normal292; PDF title intact
Supplementary_Figure_S3/Figure_S3b_DDR_pathway_matrix_non_tumor_tissues.png,2e6f5a8ae2212611e5191920831ebda9fa1d00222b506f03613962ba5f8f4093,expanded31,unique Kla-DDR protein columns,31-group source verified; PNG title digits missing,Workbook membership/state checks; tumor192/non-tumor183/cancer381/normal292; PDF title intact
Supplementary_Figure_S3/legacy_tissue_summaries/Figure_2d_DDR_pathway_summary_tumor_tissue.png,61e18fd80b49002e326d305fed338457becb0f0a6ba63130ccb33126d1ddf1b9,expanded31,category union protein counts/fractions; no sample points,31-group source verified; clarify union denominator and direction,Hash matches expanded formal figures; signed counts independently recomputed
Supplementary_Figure_S3/legacy_tissue_summaries/Figure_2e_DDR_pathway_summary_non_tumor_tissue.png,a4a0ea0030b751b4e72854a3871ee87418dd54e95b230f9bd8b55613e158f210,expanded31,category union protein counts/fractions; no sample points,31-group source verified; clarify union denominator and direction,Hash matches expanded formal figures; signed counts independently recomputed
Supplementary_Figure_S4/companion_summaries/Supplementary_Figure_S2b_DDR_pathway_summary_cancer_cell_lines.png,c48b6c5cce402b6d257229b84ca7d6a059c3c9074f848ae1e98a8e3f3e408eb6,expanded31,category union protein counts/fractions; no sample points,31-group source verified; clarify union denominator and direction,Hash matches expanded formal figures; signed counts independently recomputed
Supplementary_Figure_S4/companion_summaries/Supplementary_Figure_S2c_DDR_pathway_summary_normal_cell_lines.png,a273c087b76d44855f2d9ba5d60a5806d6ad5cc3e7facbb7c5a297cdb81d1de9,expanded31,category union protein counts/fractions; no sample points,31-group source verified; clarify union denominator and direction,Hash matches expanded formal figures; signed counts independently recomputed
Supplementary_Figure_S4/Figure_S4a_DDR_pathway_matrix_cancer_cell_lines.png,e2dbd5dab97cc2546c377cc817efd21c7e0145c9f09f43b75a73db5dca5e9385,expanded31,unique Kla-DDR protein columns,31-group source verified; PNG title digits missing,Workbook membership/state checks; tumor192/non-tumor183/cancer381/normal292; PDF title intact
Supplementary_Figure_S4/Figure_S4b_DDR_pathway_matrix_normal_cell_lines.png,f7d5119e38d00a83b6808f01e4ebf82eec0038b0e967ad45ac8b2106e7efe25b,expanded31,unique Kla-DDR protein columns,31-group source verified; PNG title digits missing,Workbook membership/state checks; tumor192/non-tumor183/cancer381/normal292; PDF title intact
