EnsemblProteinID	BaseAccession	UniProtSource	MappingSource	MappingDate
ENSP00000005587	O75563	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005756	O95045	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000005756	A0A0S2Z634	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006015	P31270	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006275	O75865	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006526	Q9H977	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006658	Q8TB22	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006750	P40259	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000006777	Q6NTF9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007390	Q9UJK0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007414	Q9BZF2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007516	O14561	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007699	Q9Y2T7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007699	A0A384MDP4	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000007708	Q15119	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000008527	Q16526	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000008527	A2I2P0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000008938	O75594	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000009041	O95772	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000009180	P21926	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000009530	P04233	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000009589	P60866	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000010404	P10620	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011292	P15085	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011473	Q16563	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011473	A4D0R1	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011619	Q96S59	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011653	P01730	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011653	A0A4Y5UGE4	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011691	Q9UHA2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000011898	O75954	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000012049	Q9NXS2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000012443	P53041	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000013034	P15531	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000013070	Q8N806	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000013125	Q9Y4K4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000013222	O95050	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000013807	P07992	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000014112	P26599	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000014914	Q8NFJ5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000014930	Q9NRV9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000015877	P78563	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000016171	Q7KZN9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000017003	Q9H1B5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000019019	Q9UET6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000019317	Q15311	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000020926	Q7L8C5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000020945	O43623	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000022615	Q9Y277	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000023939	A0A0A0MQR2	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000025008	Q8TDY2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000025301	Q9UKA4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000026218	Q9BRB3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000027335	Q12864	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000029410	Q9UBV7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000034275	Q9H6Z4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000035307	Q9P2E5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000037243	P60520	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000037502	Q99972	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000037502	A0A0S2Z421	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000037869	Q96C01	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000038176	Q92636	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000039007	P00480	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000039989	Q96AE7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000040663	Q9BV20	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000040738	Q8NFC6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000040877	Q13395	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000042381	Q6ZS17	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000046794	Q13094	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000052569	Q9HD26	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000053243	Q02223	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000053468	P82664	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000053867	P28799	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000054216	P21583	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000054666	Q15836	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000054666	Q6FGG2	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000054950	Q15293	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000054950	V9HW95	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000055077	P35250	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000055163	Q8NFD5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000055335	Q6ZSY5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000056217	Q12774	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000060969	Q9BRV8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000061240	O43897	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000064724	O75508	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000064778	Q92567	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000066544	P30260	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000072516	Q9NPH3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000072644	Q9Y548	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000075120	P11169	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000075322	Q13822	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000075430	Q9Y5B0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000078429	P29992	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000078445	Q68CJ9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000078527	Q9NUD9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000080059	Q8WUI4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000081029	P82673	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000083182	Q92624	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000084798	O75493	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000085068	Q96AB3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000085079	Q9Y6I3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000085219	P20273	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000085219	Q0EAF5	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000155674	Q9BXW7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000156109	Q92917	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000156471	O60306	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000156626	Q9NSC7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000156825	O95983	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000157600	Q9NZU5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000157812	P43686	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000157812	A8K2M0	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000158526	B0S8I6	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000158762	Q15027	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000158771	Q9GZP9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000159087	Q9HCE9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000159111	A0A0C4DFL8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160262	P32942	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160298	Q9P1Y5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160373	Q8WZ74	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160373	Q20BG9	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160382	O94805	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000160827	Q14807	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000161006	Q9GZN4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000161559	P13688	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000161863	Q9H6S0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000162044	Q9NX61	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000162330	P56945	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000162391	Q9P0K8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000162749	P19438	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000163416	Q8TBA6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000164024	Q9NYQ7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000164133	Q15173	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000164139	P11217	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000164227	P20749	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000164640	Q76G19	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000165698	Q9H902	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000166139	O95633	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000166345	Q15645	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000166534	O15460	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000167106	Q7L8A9	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000167462	Q6P1M3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000168148	Q13103	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000168216	Q99714	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000168216	A0A0S2Z410	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000169293	P48740	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000169551	Q9BVV7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000169551	A8K1K8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000170168	Q8N1G1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000170447	Q9H000	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000170564	Q9BRR8	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000171887	Q9HBL0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000172229	P08138	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000173229	O95631	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000173527	Q96CN7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000173898	Q12816	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000174618	Q99583	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000175756	Q99952	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000176763	O94804	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000177648	Q96QP1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000177694	Q9UL17	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000177742	C9JJ19	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000178638	O43570	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000178640	Q13163	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000179259	Q9NQ88	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000180173	Q9Y216	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000181383	Q96IY4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000181796	Q9H098	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000181839	Q14004	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000182527	Q15035	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000182527	A0A024RD84	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000183605	P56856	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000184266	O95168	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000184956	Q6AI08	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000185150	Q96DZ1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000185150	V9HWD3	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000185206	Q9NZA1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000185942	O75330	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000186436	Q92545	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000187397	Q9UBL0	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000187762	Q9H6F2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000187910	Q00889	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000188376	Q00325	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000188376	A0A024RBE8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000188403	Q96RI1	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000188790	Q12884	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000189444	Q00653	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000190611	Q9BZF3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000190983	O76076	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000191018	P10619	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000192314	Q9H3Q3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000192788	Q6BDS2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000193322	Q86WC4	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000193403	P12814	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000193403	A0A024R694	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000194152	Q9Y5E5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000194155	Q9Y5E7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000194214	Q9Y547	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000194530	Q9C0K7	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000195649	E9PDG8	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000195654	Q5JWR5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000196061	Q02809	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000196371	P55809	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000196371	A0A024R040	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000196489	Q9BWM5	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000196551	P46782	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000197268	A2RU67	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000198767	Q9NYV6	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000198801	Q3SYC2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000198939	J3QK89	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199280	P41181	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199320	Q9UNQ2	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199389	Q9BQI3	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199448	Q9UM22	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199706	Q13084	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199708	P09105	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199708	A0A1K0GUV5	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199814	Q9NW64	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199936	P37059	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000199940	P11137	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200135	O43264	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200181	P16144	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200457	Q15654	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200557	O75078	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200639	P13473	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200652	Q9H015	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200676	P11597	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200676	A0A0S2Z3F6	TrEMBL	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000200691	P25713	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000201031	Q92754	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000201586	O00204	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000201647	Q8TE68	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
ENSP00000201979	O75628	Swiss-Prot	Ensembl BioMart hsapiens_gene_ensembl	2026-08-06
