Entry	Gene Names (primary)	Gene Names	Protein names	Reviewed
A0A1B0GUG1	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
A0A1B0GUH5	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
A0A1B0GW68	ASAH1	ASAH1	Acid ceramidase (EC 3.5.1.23) (Acylsphingosine deacylase) (N-acylethanolamine hydrolase ASAH1) (N-acylsphingosine amidohydrolase)	unreviewed
A0A1B0GW77	ALDH7A1	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase (EC 1.2.1.3) (EC 1.2.1.31) (EC 1.2.1.8) (Aldehyde dehydrogenase family 7 member A1) (Antiquitin-1) (Betaine aldehyde dehydrogenase) (Delta1-piperideine-6-carboxylate dehydrogenase)	unreviewed
A0A1B0GWI1	CCDC196	CCDC196	Coiled-coil domain containing 196	unreviewed
A0A1V0DNR7	PTEN	PTEN	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Inositol polyphosphate 3-phosphatase) (Phosphatase and tensin homolog)	unreviewed
A0A1Y1BBN3	DHCR7	DHCR7	7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3.1.21) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (Delta(14)-sterol reductase TM7SF2) (Sterol C14-reductase) (Sterol Delta(7)-reductase) (Transmembrane 7 superfamily member 2)	unreviewed
A0A1Y1BG54	DHCR7	DHCR7	7-dehydrocholesterol reductase (7-DHC) (Delta-14-SR) (EC 1.3.1.21) (EC 1.3.1.70) (3-beta-hydroxysterol Delta (14)-reductase) (C-14 sterol reductase) (Delta(14)-sterol reductase TM7SF2) (Sterol C14-reductase) (Sterol Delta(7)-reductase) (Transmembrane 7 superfamily member 2)	unreviewed
A0A2K8FKQ1	PIK3CD	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta)	unreviewed
A0A2K8FKV1	PIK3CD	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta)	unreviewed
A0A2P9DU05	ROCK2	ROCK2	Rho-associated protein kinase	unreviewed
A0A2R8Y4I8	SPAST	SPAST SPG4	Spastin (EC 5.6.1.1)	unreviewed
A0A2R8Y559	HDAC6	HDAC6	Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6)	unreviewed
A0A2R8Y644	CDK13	CDK13	Cyclin dependent kinase 13	unreviewed
A0A2R8Y7D0	TINCR	TINCR LINC00036 NCRNA00036 PLAC2	Ubiquitin domain-containing protein TINCR (Placenta-specific protein 2) (Terminal differentiation-induced cornification regulator) (pTINCR microprotein)	reviewed
A0A2R8YCS4	HDAC6	HDAC6	Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6)	unreviewed
A0A2R8YD28	CDK13	CDK13	Cyclin dependent kinase 13	unreviewed
A0A2R8YD50	HSD17B4	HSD17B4	Peroxisomal multifunctional enzyme type 2 (17-beta-hydroxysteroid dehydrogenase 4) (D-bifunctional protein) (Multifunctional protein 2)	unreviewed
A0A2R8YDE6	HDAC6	HDAC6	Protein deacetylase HDAC6 (Tubulin-lysine deacetylase HDAC6)	unreviewed
A0A2R8YF61	CDK13	CDK13	Cyclin dependent kinase 13	unreviewed
A0A2U3TZR0	SPAST	SPAST SPG4	Spastin (EC 5.6.1.1)	unreviewed
A0A384ME25			Epididymis secretory sperm binding protein	unreviewed
A0A384MED8			Cytosolic purine 5'-nucleotidase (EC 2.7.1.77) (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N)	unreviewed
A0A384MTR5			RuvB-like helicase (EC 3.6.4.12)	unreviewed
A0A384N611			Protein Wnt	unreviewed
A0A384N647	AK4	AK4 AK3L1	Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)	unreviewed
A0A384NL29			Superoxide dismutase (EC 1.15.1.1)	unreviewed
A0A384NY87			Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)	unreviewed
A0A384P5C6			Delta-like protein	unreviewed
A0A384P5Q0			Catalase (EC 1.11.1.6)	unreviewed
A0A3B3IRX2	PLA2G2A	PLA2G2A	Phospholipase A2 (EC 3.1.1.4)	unreviewed
A0A3B3ISY9	AGK	AGK	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	unreviewed
A0A3B3ISZ0	AGK	AGK	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	unreviewed
A0A3B3ITD0	AGK	AGK	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	unreviewed
A0A3B3ITV0	AGK	AGK	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	unreviewed
A0A3B3ITX7	AGK	AGK	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Multiple substrate lipid kinase)	unreviewed
A0A499FJK2	TGFB1	TGFB1	Transforming growth factor beta	unreviewed
A0A499FJM4	CYP3A4	CYP3A4	Cytochrome P450 3A (EC 1.14.14.-)	unreviewed
A0A590UJC7	PLA2G6	PLA2G6	85/88 kDa calcium-independent phospholipase A2 (EC 3.1.1.4) (EC 3.1.1.5) (EC 3.1.2.2) (2-lysophosphatidylcholine acylhydrolase) (Group VI phospholipase A2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (Palmitoyl-CoA hydrolase) (Patatin-like phospholipase domain-containing protein 9)	unreviewed
A0A5F9ZGX5	TNK2	TNK2	Activated CDC42 kinase 1 (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	unreviewed
A0A5F9ZHJ2	TNK2	TNK2	Activated CDC42 kinase 1 (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	unreviewed
A0A5F9ZI29	TNK2	TNK2	Activated CDC42 kinase 1 (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	unreviewed
A0A669KB12	EP300	EP300	histone acetyltransferase (EC 2.3.1.48)	unreviewed
A0A6F8P0E0	PPARG5	PPARG5 PPARG	Peroxisome proliferator-activated receptor-gamma 5 (Peroxisome proliferator-activated receptor-gamma splicing variant)	unreviewed
A0A6G6A825			Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN (EC 3.1.3.16) (EC 3.1.3.48) (EC 3.1.3.67) (Phosphatase and tensin homolog)	unreviewed
A0A6Q8PF08	PMP22	PMP22	Peripheral myelin protein 22	unreviewed
A0A6Q8PHB5	NT5C2	NT5C2	Cytosolic purine 5'-nucleotidase (EC 2.7.1.77) (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N)	unreviewed
A0A6Q8PHP0	NT5C2	NT5C2	Cytosolic purine 5'-nucleotidase (EC 2.7.1.77) (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N)	unreviewed
A0A7I2R3P8	NLRP3	NLRP3	NACHT, LRR and PYD domains-containing protein 3	unreviewed
A0A7I2SVS4	HDAC4	HDAC4	Histone deacetylase (EC 3.5.1.98)	unreviewed
A0A7I2V2E0	ABCC1	ABCC1	Multidrug resistance-associated protein 1 (EC 7.6.2.2) (EC 7.6.2.3) (ATP-binding cassette sub-family C member 1) (Glutathione-S-conjugate-translocating ATPase ABCC1) (Leukotriene C(4) transporter)	unreviewed
A0A7I2V2E9	ACE2	ACE2	Angiotensin-converting enzyme (EC 3.4.-.-)	unreviewed
A0A7I2V2F9	ITGB1	ITGB1	Integrin beta	unreviewed
A0A7I2V3E1	PARP1	PARP1	Poly [ADP-ribose] polymerase (EC 2.4.2.30)	unreviewed
A0A7I2V3J4	GSK3B	GSK3B	Glycogen synthase kinase-3 beta (EC 2.7.11.24) (EC 2.7.11.26)	unreviewed
A0A7I2V3N4	ACE2	ACE2	Angiotensin-converting enzyme (EC 3.4.-.-)	unreviewed
A0A7I2V3X6	ACE2	ACE2	Angiotensin-converting enzyme (EC 3.4.-.-)	unreviewed
A0A7I2V4F4	ST3GAL4	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (EC 2.4.3.2) (EC 2.4.3.4) (EC 2.4.3.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Gal-beta-1,4-GlcNAc-alpha-2,3-sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal IV) (Sialyltransferase 4C)	unreviewed
A0A7I2V4H0	ACE2	ACE2	Angiotensin-converting enzyme (EC 3.4.-.-)	unreviewed
A0A7I2V4R4	ST3GAL4	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (EC 2.4.3.2) (EC 2.4.3.4) (EC 2.4.3.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Gal-beta-1,4-GlcNAc-alpha-2,3-sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal IV) (Sialyltransferase 4C)	unreviewed
A0A7I2V4V4	ST3GAL4	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (EC 2.4.3.2) (EC 2.4.3.4) (EC 2.4.3.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Gal-beta-1,4-GlcNAc-alpha-2,3-sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal IV) (Sialyltransferase 4C)	unreviewed
A0A7I2V5F3	ST3GAL4	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (EC 2.4.3.2) (EC 2.4.3.4) (EC 2.4.3.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Gal-beta-1,4-GlcNAc-alpha-2,3-sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal IV) (Sialyltransferase 4C)	unreviewed
A0A7P0RGI5	ST3GAL4	ST3GAL4	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (EC 2.4.3.2) (EC 2.4.3.4) (EC 2.4.3.6) (Alpha 2,3-sialyltransferase IV) (Gal-beta-1,3-GalNAc-alpha-2,3-sialyltransferase) (Gal-beta-1,4-GlcNAc-alpha-2,3-sialyltransferase) (N-acetyllactosaminide alpha-2,3-sialyltransferase) (ST3Gal IV) (Sialyltransferase 4C)	unreviewed
A0A7P0T828	PTGS2	PTGS2	Prostaglandin G/H synthase 2 (EC 1.14.99.1) (Cyclooxygenase-2) (PHS II) (Prostaglandin H2 synthase 2) (Prostaglandin-endoperoxide synthase 2)	unreviewed
A0A7P0TBQ3	CGAS	CGAS	Cyclic GMP-AMP synthase (EC 2.7.7.86) (2'3'-cGAMP synthase) (Mab-21 domain-containing protein 1)	unreviewed
A0A804HHW5	HSD17B10	HSD17B10	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.159) (EC 1.1.1.178) (EC 1.1.1.239) (EC 1.1.1.35) (EC 1.1.1.53) (EC 1.1.1.62) (17-beta-estradiol 17-dehydrogenase) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (7-alpha-hydroxysteroid dehydrogenase) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	unreviewed
A0A804HI59	PAM	PAM	Peptidylglycine alpha-amidating monooxygenase	unreviewed
A0A804HIQ0	PAM	PAM	Peptidylglycine alpha-amidating monooxygenase	unreviewed
A0A804HJG7	CLASP2	CLASP2	CLIP-associating protein 1 (Cytoplasmic linker-associated protein 1)	unreviewed
A0A804HKM7	PAM	PAM	Peptidylglycine alpha-amidating monooxygenase	unreviewed
A0A804HKV8	PAM	PAM	Peptidylglycine alpha-amidating monooxygenase	unreviewed
A0A8C8KD64	PAM	PAM	Peptidylglycine alpha-amidating monooxygenase	unreviewed
A0A8D9PH75	GRIK2	GRIK2	Glutamate receptor	unreviewed
A0A8D9PHB2	GRIN2B	GRIN2B hCG_1811072	Glutamate receptor	unreviewed
A0A8I5KQE6	RPSA2	RPSA2 RPSA RPSAP58	Small ribosomal subunit protein uS2B (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (40S ribosomal protein SA) (40S ribosomal protein SA2) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	reviewed
