"PXD","SampleGroup","KlaMaterialDetail","KlaGranularity","ReferenceMaterialDetail","ReferenceGranularity","MaterialIdentityMatch","ExperimentalStateMatch","Evidence"
"PXD063266","PC-3M","PC-3M cells","cell_line","PC-3M heavy SILAC channel","cell_line","TRUE","same_cell_line_independent_experiment","Exact PC-3M identity; heavy-channel ordinary proteome only"
"PXD064912","human sperm","Human sperm biospecimen","biospecimen","Human sperm conventional DIA proteome","biospecimen","TRUE","independent_cohort_same_phenotype","Exact biospecimen type; independent donor cohort"
"PXD066054","BPH","BPH tissue NAT1 to NAT5","disease_tissue_sample_group","BPH NAT1 to NAT5","disease_tissue_sample_group","TRUE","same_study_matched_samples","Only NAT1 to NAT5 BPH columns are read; PCa columns are excluded"
"PXD066054","prostate cancer","Prostate cancer PCa1 to PCa5","disease_tissue_sample_group","Prostate cancer PCa1 to PCa5","disease_tissue_sample_group","TRUE","same_study_matched_samples","Only PCa1 to PCa5 columns are read; BPH NAT columns are excluded"
"PXD066351","HCT116 control and Roseburia co-culture","HCT116 control and Roseburia co-culture","cell_line_with_conditions","Matched DA ordinary-proteome samples","cell_line_with_conditions","TRUE","same_study_matched_conditions","DA ordinary proteome and DPLa lactylome are paired by study design"
"PXD070007","glioblastoma stem cells","G2907 G3028 G3264 GSC23 MES28 RKI","named_cell_models","G2907 G3028 G3264 GSC23 MES28 RKI","named_cell_models","TRUE","exact_same_models","The same six named GSC models are selected from the ordinary LFQ table"
"PXD070007","neural stem cells","ENSA HMP1","named_cell_models","ENSA HMP1","named_cell_models","TRUE","exact_same_models","The same two named NSC models are selected from the ordinary LFQ table"
"PXD073311","HUVEC control and Pg infection","HUVEC control and Pg infection","primary_cell_culture_with_conditions","HUVEC A0h_1 A0h_2 A0h_3 baseline","primary_cell_culture_baseline","TRUE","baseline_reference_only","Exact HUVEC material; A6h is excluded so infection state is not represented in the reference"
"PXD075377","HCC","HCC tumor tissue","disease_tissue","Primary HCC CISs sheet","disease_tissue","TRUE","independent_cohort_same_phenotype","CISs tumor sheet only; independent patients"
"PXD075377","adjacent liver","Adjacent liver tissue","adjacent_tissue","Adjacent liver ANTs sheet","adjacent_tissue","TRUE","independent_cohort_same_phenotype","ANTs adjacent-tissue sheet only; independent patients; DNTs are not used"
"PXD078013","RKO WT and GSK3B KO","RKO WT and GSK3B KO","cell_line_with_genotypes","RKO SIDM01090 baseline","cell_line_baseline","TRUE","baseline_reference_only","Exact RKO identity but GSK3B KO state is not represented in the reference"
"PXD078736","HK-2 control and mannitol","HK-2 control and mannitol","cell_line_with_conditions","Untreated HK-2 amostra1 amostra3 amostra4","cell_line_baseline","TRUE","baseline_reference_only","Exact HK-2 identity but mannitol state is not represented in the reference"
