"LactylomePXD","StudyFamily","SampleGroup","BiologicalMaterial","LactylomeDatasetStatus","LactylomeEvidenceLocator","LactylomeAcquisitionStatus","ReferenceStrategy","ReferencePXD","ReferenceSampleSubset","ReferenceEvidenceLocator","ReferenceProteinCount","ReferenceAcquisitionStatus","MatchQuality","Caveat","IncludeInPairedAnalysis","IncludeInStrictReferenceAnalysis"
"PXD066054","prostate_cancer_bph_lactylome","prostate cancer","prostate cancer tissue","usable_global_lactylome","data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv","downloaded_and_qc_passed","same_study_conventional_proteome","PXD066054","PCa1 to PCa5","data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv",8203,"downloaded_and_counted","exact_same_study","Five clinical tumors",TRUE,TRUE
"PXD066351","roseburia_hct116_lactylome","HCT116 control and Roseburia co-culture","colorectal cancer cell line","usable_global_lactylome","data/PXD066351/search_results/XB01472B1DPLa-DIA_result.csv","downloaded","same_study_conventional_proteome","PXD066351","matched DA samples","data/PXD066351/search_results/XB01472B1DA-Protein_Quant.tsv",8130,"downloaded_and_counted","exact_same_study","DA and DPLa results are naturally paired",TRUE,TRUE
"PXD068838","zcwpw2_meiosis_lactylome","ZCWPW2 WT and KO","unresolved human or mouse germ-cell model","unresolved_species_component","remote SEARCH.rar","remote_available_not_downloaded","pending_species_resolution","not_selected","not_selected","not_selected",,"not_selected","species_unresolved","Do not include until human component is confirmed",FALSE,FALSE
"PXD070007","gsc_nsc_lactylome","glioblastoma stem cells","glioblastoma stem-cell cultures","usable_global_lactylome","data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx","downloaded_and_qc_passed","same_biospecimen_non_ptm_proteome","PXD069969","G2907;G3028;G3264;GSC23;MES28;RKI","data/PXD069969/search_results/SA206LQB1_Annotation.xlsx",8374,"downloaded_and_counted","exact_same_biospecimen","与Kla研究相同的6个GSC模型，普通非PTM LFQ蛋白组",TRUE,TRUE
"PXD070007","gsc_nsc_lactylome","neural stem cells","normal neural stem-cell cultures","usable_global_lactylome","data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx","downloaded_and_qc_passed","same_biospecimen_non_ptm_proteome","PXD069969","ENSA;HMP1","data/PXD069969/search_results/SA206LQB1_Annotation.xlsx",7246,"downloaded_and_counted","exact_same_biospecimen","与Kla研究相同的2个NSC模型，普通非PTM LFQ蛋白组",TRUE,TRUE
"PXD070427","zcwpw2_meiosis_lactylome","ZCWPW2 study mirror component","unresolved human or mouse model","unresolved_species_component","remote search.zip","remote_available_not_downloaded","duplicate_or_component","PXD068838","canonical study under review","not_applicable",,"not_applicable","species_unresolved","Do not count independently",FALSE,FALSE
"PXD073311","huvec_infection_lactylome","HUVEC control and Pg infection","primary human endothelial cell culture","usable_global_lactylome","data/PXD073311/search_results/IPX0015307003_Database_search_result.zip","downloaded_and_used","same_study_non_ptm_baseline","PXD073311","A0h_1;A0h_2;A0h_3","data/PXD073311/search_results/extracted_pairing/IPX0015307001_Database_search_result/Database_search_result/report.pg_matrix.tsv",7794,"downloaded_and_counted","exact_same_biospecimen","Same-study ordinary whole-proteome PG matrix; only A0h baseline is used for intensity and DDR reference, A6h is excluded",TRUE,TRUE
"PXD075014","ac16_hypoxia_lactylome","AC16 control and hypoxia","human cardiomyocyte cell line","usable_global_lactylome","data/PXD075014/supplementary/Table2.XLSX","downloaded_and_used","unresolved_reference",,,,,"not_selected","no_exact_reference_found","PXD059985的质谱定量比较为AC16增殖/分化状态，不能等同于PXD075014的对照/低氧状态；PXD075014补充表为Kla富集肽段而非普通全蛋白",TRUE,FALSE
"PXD075377","hcc_adjacent_lactylome","HCC","HCC tissue","usable_global_lactylome","data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt","downloaded_and_qc_passed","external_exact_disease_tissue","PXD065775","CISs sheet;Non-rec1-4;Rec1-4","data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx",5188,"downloaded_and_counted","exact_disease_tissue","独立HCC临床普通iTRAQ蛋白组；材料和疾病状态匹配但不是同一患者",TRUE,TRUE
"PXD075377","hcc_adjacent_lactylome","adjacent liver","adjacent liver tissue","usable_global_lactylome","data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt","downloaded_and_qc_passed","external_exact_adjacent_tissue","PXD065775","ANTs sheet;Non-rec1-4;Rec1-4","data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx",4251,"downloaded_and_counted","exact_adjacent_tissue","独立HCC邻近肝普通iTRAQ蛋白组；邻近组织状态匹配但不是同一患者",TRUE,TRUE
"PXD077426","hk2_aki_ckd_lactylome","HK-2 mirror","immortalized proximal tubule cell line","duplicate_mirror","repository URLs resolve to PXD078736","excluded_duplicate","duplicate_reference","PXD078736","canonical lactylome dataset","not_applicable",,"not_applicable","duplicate_mirror","Do not count independently",FALSE,FALSE
"PXD078013","rko_gsk3b_lactylome","RKO WT and GSK3B KO","colorectal cancer cell line","usable_global_lactylome","data/PXD078013/search_results/evidence.txt","downloaded_and_used","external_exact_cell_line","PXD030304","RKO SIDM01090","data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt",3615,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome atlas",TRUE,TRUE
"PXD078736","hk2_aki_ckd_lactylome","HK-2 control and mannitol","immortalized proximal tubule cell line","usable_global_lactylome","data/PXD078736/search_results/txt.zip","downloaded_and_used","external_exact_cell_line","PXD072220","untreated HK-2 controls","data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt",4897,"downloaded_and_counted","exact_cell_line","Independent ordinary proteome",TRUE,TRUE
