ObservationID,GroupID,ReferenceKey,RNASource,ProteomeSource,StudyID,MaterialType,LabelDefinition,LabelUnit,LabelLevel,Linkage,SharedSource,BatchNote,ComparabilityLimit,PXD,SampleGroup,Category,KlaProteinCount,ReferenceProteinCount,KlaDdrProteinCount,SharedReference,DisplayLabel,BiologicalMaterial,KlaEvidenceFile,KlaDdrFraction,PairedAnalysisIncluded,ReferencePXD,ReferenceEvidenceFile,ReferenceDdrProteinCount,ReferenceDdrFraction,DdrFractionPercentagePointDifference,ReferenceMatchNote,MatchMode,SymbolFallbackCount,RowOrder,KlaLabelEn,KlaLabelZh,ReferenceLabelEn,ReferenceLabelZh,NamingBasis,CategoryZh,CategoryEn,EnglishDisplayLabel,ConnGroup
OBS_23_PXD066054_prostate_cancer,KLA31_11,TCGA_PRAD_primary,TCGA_PRAD_primary,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,cancer_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,same_study_external_RNA,none,Proteome study=PXD066054; RNA source=TCGA_PRAD_primary; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD066054,prostate cancer,cancer_tissue,2125,8203,143,FALSE,前列腺癌组织 · PXD066054 / 前列腺癌组织 · PXD066054,prostate cancer tissue,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,0.0672941176470588,TRUE,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,412,0.0502255272461295,0.0170685904009294,同研究同样本精确匹配,BaseAccession_only,0,11,Prostate cancer tissue,前列腺癌组织,Prostate cancer tissue,前列腺癌组织,Same-study PCa1-PCa5 samples,肿瘤组织,tumor tissues,Prostate cancer tissue · PXD066054 / Prostate cancer tissue · PXD066054,7
OBS_28_PXD075377_HCC,KLA31_12,TCGA_LIHC_primary,TCGA_LIHC_primary,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,PXD075377,cancer_tissue,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD075377; RNA source=TCGA_LIHC_primary; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD075377,HCC,cancer_tissue,1798,5188,121,FALSE,肝细胞癌组织 · PXD075377 / 原发性肝细胞癌组织 · PXD065775,HCC tissue,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,0.0672969966629588,TRUE,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,271,0.0522359290670779,0.015061067595881,疾病组织精确匹配,BaseAccession_only,0,12,HCC tissue,肝细胞癌组织,Primary HCC tissue,原发性肝细胞癌组织,Independent CISs HCC cohort,肿瘤组织,tumor tissues,HCC tissue · PXD075377 / Primary HCC tissue · PXD065775,8
OBS_15_PXD060185_MCF7,KLA31_13,MCF7_DMSO7d,MCF7_DMSO7d,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD060185,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD060185; RNA source=MCF7_DMSO7d; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD060185,MCF7,cancer_cells,1235,3099,132,FALSE,MCF7细胞 · PXD060185 / MCF7细胞 · PXD030304,breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,0.106882591093117,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,209,0.0674411100354953,0.0394414810576221,精确细胞系匹配,BaseAccession_only,0,14,MCF7 cells,MCF7细胞,MCF7 cells,MCF7细胞,Independent cell-line baseline,癌细胞系,cancer cell lines,MCF7 cells · PXD060185 / MCF7 cells · PXD030304,10
OBS_01_PXD028488_HCT116,KLA31_14,HCT116_control,HCT116_control,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,PXD028488,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_shared,HCT116_control shared across KLA31_14/15/16,Proteome study=PXD028488; RNA source=HCT116_control; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD028488,HCT116,cancer_cells,240,4010,30,TRUE,HCT116细胞 · PXD028488 / HCT116细胞 · PXD030304,colorectal cancer cell line,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,0.125,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,273,0.0680798004987531,0.0569201995012469,精确细胞系匹配,BaseAccession_only,0,15,HCT116 cells,HCT116细胞,HCT116 cells,HCT116细胞,Independent cell-line baseline,癌细胞系,cancer cell lines,HCT116 cells · PXD028488 / HCT116 cells · PXD030304,11
OBS_11_PXD053474_HCT116,KLA31_15,HCT116_control,HCT116_control,data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Cytoplasm-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Membrane-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Mitochondrion-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Nucleus-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Cytoplasm-Lactylation-Fraction-DIA/Cytoplasm-Lactylation-DIA-ptm-site__Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Membrane-Lactylation-Fraction-DIA/Membrane-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Mitochondrion-Lactylation-Fraction-DIA/Mitochondria-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Nucleus-Lactylation-Fraction-DIA/Nucleus-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-Fraction-DIA/Whole-cell-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DIA/Whole-cell-Lactylation-DIA-NoFrac-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Cytoplasm-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Membrane-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Mitochondrion-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Nucleus-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Whole-cell-lysates-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Cytoplasm-DIA-input/Cytoplasm-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Membrane-DIA-input/Membrane-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Mitochondrion-DIA-input/Mitochondria-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Nucleus-DIA-input/Nucleus-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Whole-cell-lysates-DIA-input/Whole-cell-DIA-input-ptm-site_Report.tsv;data/PXD053474/supplementary/js4c00366_si_003.xlsx,PXD053474,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_shared,HCT116_control shared across KLA31_14/15/16,Proteome study=PXD053474; RNA source=HCT116_control; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD053474,HCT116,cancer_cells,590,4010,65,TRUE,HCT116细胞（亚细胞分级） · PXD053474 / HCT116细胞 · PXD030304,colorectal cancer cell line,data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Cytoplasm-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Membrane-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Mitochondrion-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Nucleus-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Cytoplasm-Lactylation-Fraction-DIA/Cytoplasm-Lactylation-DIA-ptm-site__Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Membrane-Lactylation-Fraction-DIA/Membrane-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Mitochondrion-Lactylation-Fraction-DIA/Mitochondria-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Nucleus-Lactylation-Fraction-DIA/Nucleus-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-Fraction-DIA/Whole-cell-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DIA/Whole-cell-Lactylation-DIA-NoFrac-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Cytoplasm-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Membrane-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Mitochondrion-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Nucleus-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Whole-cell-lysates-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Cytoplasm-DIA-input/Cytoplasm-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Membrane-DIA-input/Membrane-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Mitochondrion-DIA-input/Mitochondria-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Nucleus-DIA-input/Nucleus-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Whole-cell-lysates-DIA-input/Whole-cell-DIA-input-ptm-site_Report.tsv;data/PXD053474/supplementary/js4c00366_si_003.xlsx,0.110169491525424,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,273,0.0680798004987531,0.0420896910266706,精确细胞系匹配,BaseAccession_only,0,16,HCT116 cells (subcellular fractions),HCT116细胞（亚细胞分级）,HCT116 cells,HCT116细胞,Kla subcellular fractionation with independent baseline reference,癌细胞系,cancer cell lines,HCT116 cells (subcellular fractions) · PXD053474 / HCT116 cells · PXD030304,11
OBS_24_PXD066351_HCT116_control_and_Roseburia_co_culture,KLA31_16,HCT116_control,HCT116_control,data/PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,PXD066351,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_shared,HCT116_control shared across KLA31_14/15/16,Proteome study=PXD066351; RNA source=HCT116_control; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,2398,8130,253,TRUE,HCT116细胞（对照与Roseburia共培养） · PXD066351 / HCT116细胞（对照与Roseburia共培养） · PXD066351,colorectal cancer cell line,data/PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,0.105504587155963,TRUE,PXD066351,data/PXD066351/search_results/XB01472B1DA-Protein_Quant.tsv,504,0.0619926199261993,0.043511967229764,同研究同样本精确匹配,BaseAccession_only,0,17,HCT116 cells (control and Roseburia co-culture),HCT116细胞（对照与Roseburia共培养）,HCT116 cells (control and Roseburia co-culture),HCT116细胞（对照与Roseburia共培养）,Same-study matched ordinary-proteome conditions,癌细胞系,cancer cell lines,HCT116 cells (control and Roseburia co-culture) · PXD066351 / HCT116 cells (control and Roseburia co-culture) · PXD066351,11
OBS_03_PXD028488_TALL_104,KLA31_17,GSE163787_TALL104,GSE163787_TALL104,data/PXD028488/search_results/Enrichment-Search files/TALL-NALAC-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/DB search psm.csv,PXD028488,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD028488; RNA source=GSE163787_TALL104; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD028488,TALL-104,cancer_cells,368,3734,37,FALSE,TALL-104细胞（乳酸钠处理） · PXD028488 / TALL-104细胞（乳酸钠处理） · PXD028488,T lymphoblastic leukemia cell line,data/PXD028488/search_results/Enrichment-Search files/TALL-NALAC-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/DB search psm.csv,0.10054347826087,TRUE,PXD028488,data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/proteins.csv,253,0.0677557579003749,0.0327877203604946,同研究同样本精确匹配,BaseAccession_only,0,18,TALL-104 cells (sodium lactate),TALL-104细胞（乳酸钠处理）,TALL-104 cells (sodium lactate),TALL-104细胞（乳酸钠处理）,Same-study lactate-exposed non-enriched arm,癌细胞系,cancer cell lines,TALL-104 cells (sodium lactate) · PXD028488 / TALL-104 cells (sodium lactate) · PXD028488,11
OBS_09_PXD050147_HepG2_WT_and_SIRT1_or_SIRT3_KO,KLA31_18,HepG2_DMSO24h,HepG2_DMSO24h,data/PXD050147/search_results/Lactyl_K_Sites.txt,PXD050147,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD050147; RNA source=HepG2_DMSO24h; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,2602,6772,285,FALSE,HepG2细胞（WT、SIRT1 KO与SIRT3 KO） · PXD050147 / HepG2细胞（WT、SIRT1 KO与SIRT3 KO） · PXD050147,hepatocellular carcinoma cell line,data/PXD050147/search_results/Lactyl_K_Sites.txt,0.109531129900077,TRUE,PXD050147,data/PXD050147/search_results/SIRT_proteinGroups.txt,450,0.0664500886001181,0.0430810412999587,同研究但方法属性需确认,BaseAccession_only,0,19,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",HepG2细胞（WT、SIRT1 KO与SIRT3 KO）,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",HepG2细胞（WT、SIRT1 KO与SIRT3 KO）,Same-study protein background with matched genotypes,癌细胞系,cancer cell lines,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO) · PXD050147 / HepG2 cells (WT, SIRT1 KO and SIRT3 KO) · PXD050147",12
OBS_12_PXD054919_A549,KLA31_19,GSE171750_A549_untreated,GSE171750_A549_untreated,data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,PXD054919,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD054919; RNA source=GSE171750_A549_untreated; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD054919,A549,cancer_cells,1220,3448,116,FALSE,A549细胞 · PXD054919 / A549细胞 · PXD030304,lung adenocarcinoma cell line,data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,0.0950819672131148,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,226,0.0655452436194896,0.0295367235936252,精确细胞系匹配,BaseAccession_only,0,20,A549 cells,A549细胞,A549 cells,A549细胞,Independent cell-line baseline,癌细胞系,cancer cell lines,A549 cells · PXD054919 / A549 cells · PXD030304,13
OBS_16_PXD060185_MDA_MB_468,KLA31_20,MDAMB468_DMSO7d,MDAMB468_DMSO7d,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD060185,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD060185; RNA source=MDAMB468_DMSO7d; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD060185,MDA-MB-468,cancer_cells,1612,3760,196,FALSE,MDA-MB-468细胞 · PXD060185 / MDA-MB-468细胞 · PXD030304,triple-negative breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,0.121588089330025,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,230,0.0611702127659574,0.0604178765640674,精确细胞系匹配,BaseAccession_only,0,21,MDA-MB-468 cells,MDA-MB-468细胞,MDA-MB-468 cells,MDA-MB-468细胞,Independent cell-line baseline,癌细胞系,cancer cell lines,MDA-MB-468 cells · PXD060185 / MDA-MB-468 cells · PXD030304,10
OBS_17_PXD060185_T_47D,KLA31_21,GSE283812_T47D_vehicle,GSE283812_T47D_vehicle,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD060185,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD060185; RNA source=GSE283812_T47D_vehicle; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD060185,T-47D,cancer_cells,1301,3516,159,FALSE,T-47D细胞 · PXD060185 / T-47D细胞 · PXD030304,breast cancer cell line,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,0.122213681783244,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,228,0.0648464163822526,0.0573672654009911,精确细胞系匹配,BaseAccession_only,0,22,T-47D cells,T-47D细胞,T-47D cells,T-47D细胞,Independent cell-line baseline,癌细胞系,cancer cell lines,T-47D cells · PXD060185 / T-47D cells · PXD030304,10
OBS_19_PXD063266_PC_3M,KLA31_22,PC3M_DMSO,PC3M_DMSO,data/PXD063266/search_results/LactylSites.xlsx,PXD063266,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD063266; RNA source=PC3M_DMSO; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD063266,PC-3M,cancer_cells,384,8049,41,FALSE,PC-3M细胞 · PXD063266 / 重SILAC标记的PC-3M细胞 · PXD022005,prostate cancer cell line,data/PXD063266/search_results/LactylSites.xlsx,0.106770833333333,TRUE,PXD022005,data/PXD022005/search_results/txt_proteomics.zip,262,0.0325506274071313,0.074220205926202,精确细胞系匹配,BaseAccession_only,0,23,PC-3M cells,PC-3M细胞,Heavy SILAC-labeled PC-3M cells,重SILAC标记的PC-3M细胞,Independent heavy-channel SILAC reference,癌细胞系,cancer cell lines,PC-3M cells · PXD063266 / Heavy SILAC-labeled PC-3M cells · PXD022005,14
OBS_25_PXD070007_glioblastoma_stem_cells,KLA31_23,GSE266884_MES28_vector_control,GSE266884_MES28_vector_control,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,PXD070007,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD070007; RNA source=GSE266884_MES28_vector_control; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD070007,glioblastoma stem cells,cancer_cells,2564,8374,238,FALSE,胶质母细胞瘤干细胞模型 · PXD070007 / 胶质母细胞瘤干细胞模型 · PXD069969,glioblastoma stem-cell cultures,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,0.092823712948518,TRUE,PXD069969,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,495,0.0591115357057559,0.033712177242762,同一生物样本精确匹配,BaseAccession_only,0,24,Glioblastoma stem-cell models,胶质母细胞瘤干细胞模型,Glioblastoma stem-cell models,胶质母细胞瘤干细胞模型,Same six GSC models,癌细胞系,cancer cell lines,Glioblastoma stem-cell models · PXD070007 / Glioblastoma stem-cell models · PXD069969,15
OBS_30_PXD078013_RKO_WT_and_GSK3B_KO,KLA31_24,RKO_DMSO,RKO_DMSO,data/PXD078013/search_results/proteinGroups.txt;data/PXD078013/search_results/evidence.txt,PXD078013,cancer_cells,Kla detected protein count (deduplicated BaseAccession; detection feature only; NOT concentration/occupancy),count,material_aggregate,external_reference_match,none,Proteome study=PXD078013; RNA source=RKO_DMSO; cross-MS intensities uncalibrated,Cross-study Kla counts NOT comparable as unified continuous label; no total-protein denominator at same-sample level for most groups; external RNA is NOT paired measurement,PXD078013,RKO WT and GSK3B KO,cancer_cells,1217,3615,113,FALSE,RKO细胞（WT与GSK3B KO） · PXD078013 / RKO细胞 · PXD030304,colorectal cancer cell line,data/PXD078013/search_results/proteinGroups.txt;data/PXD078013/search_results/evidence.txt,0.0928512736236647,TRUE,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,252,0.0697095435684647,0.0231417300552,精确细胞系匹配,BaseAccession_only,0,25,RKO cells (WT and GSK3B KO),RKO细胞（WT与GSK3B KO）,RKO cells,RKO细胞,Independent untreated cell-line baseline,癌细胞系,cancer cell lines,RKO cells (WT and GSK3B KO) · PXD078013 / RKO cells · PXD030304,16
