GroupID,ReferenceKey,SharedReference,PXD,SampleGroup,KlaProteinCount,ReferenceProteinCount,KlaDdrProteinCount,KlaDdrFraction,ReferenceDdrProteinCount,ReferenceDdrFraction,ReferencePXD,ReferenceMatchNote,MetricBoundary
KLA31_21,GSE283812_T47D_vehicle,FALSE,PXD060185,T-47D,1301,3516,159,0.122213681783244,228,0.0648464163822526,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_22,PC3M_DMSO,FALSE,PXD063266,PC-3M,384,8049,41,0.106770833333333,262,0.0325506274071313,PXD022005,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_23,GSE266884_MES28_vector_control,FALSE,PXD070007,glioblastoma stem cells,2564,8374,238,0.092823712948518,495,0.0591115357057559,PXD069969,同一生物样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_24,RKO_DMSO,FALSE,PXD078013,RKO WT and GSK3B KO,1217,3615,113,0.0928512736236647,252,0.0697095435684647,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_25,GSE203529_HEK293T_WT,FALSE,PXD028488,HEK293T,438,6441,44,0.100456621004566,381,0.0591523055426176,PXD030304,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_26,GSE275256_HMC3_vehicle,FALSE,PXD028737,HMC3,1410,6132,157,0.111347517730496,425,0.0693085453359426,PXD028737,同研究同样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_27,HK2_untreated,TRUE,PXD058534,pretreated HK-2,2164,4897,220,0.101663585951941,304,0.0620788237696549,PXD072220,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_28,HK2_untreated,TRUE,PXD078736,HK-2 control and mannitol,1250,4897,132,0.1056,304,0.0620788237696549,PXD072220,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_29,GSE103520_MCF10A_control,FALSE,PXD060185,MCF10A,947,4839,115,0.121436114044351,242,0.0500103327133705,PXD002400,精确细胞系匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_30,GSE119834_NSC,FALSE,PXD070007,neural stem cells,1527,7246,173,0.113294040602489,459,0.0633452939552857,PXD069969,同一生物样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
KLA31_31,HUVEC_untreated,FALSE,PXD073311,HUVEC control and Pg infection,1911,7794,184,0.0962846677132391,512,0.0656915576084167,PXD073311,同一生物样本精确匹配,Study/group protein union detection counts; no site occupancy or absolute modification abundance
