RowOrder,PXD,SampleGroup,Category,DisplayGroup,BiologicalMaterial,Dataset,DatasetPXD,SampleID,ConditionLabel,SampleClass,ObservationType,SourceMode,SourceFile,ReferencePXD,ProteinCount,DdrProteinCount,DdrFraction,DdrFractionPercentage,FrozenKlaProteinCount,FrozenKlaDdrProteinCount,FrozenKlaDdrFraction,FrozenReferenceProteinCount,FrozenReferenceDdrProteinCount,FrozenReferenceDdrFraction,DatasetPointID,DatasetPointLabel
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,normal placenta tissue,Lactylome (Kla),PXD063047,PXD063047_Kla_dataset_union,Normal-pregnancy placenta,normal placenta tissue,dataset_union,validated_publication_group_union,data/PXD063047/search_results/extracted/combined/txt/La (K)Sites.txt,PXD010154,294,12,0.0408163265306122,4.08163265306122,294,12,4.08163265306122,12395,556,4.48567970956031,PXD063047__normal pregnancy placenta__Lactylome (Kla),PXD063047 / normal pregnancy placenta
6,PXD063047,normal pregnancy placenta,normal_tissue,Normal-pregnancy placenta,normal placenta tissue,Whole proteome,PXD010154,PXD010154_reference_dataset_union,PXD010154 tumor/reference union,normal placenta tissue,dataset_union,validated_reference_group_union,data/PXD010154/search_results/extracted_healthy_tissues/placenta/P013680_placenta_proteinGroups.txt,PXD010154,12395,556,0.0448567970956031,4.48567970956031,294,12,4.08163265306122,12395,556,4.48567970956031,PXD063047__normal pregnancy placenta__Whole proteome,PXD063047 / normal pregnancy placenta
7,PXD064912,human sperm,normal_tissue,Human sperm,normal human sperm biospecimen,Lactylome (Kla),PXD064912,PXD064912_Kla_dataset_union,Human sperm,normal human sperm biospecimen,dataset_union,validated_publication_group_union,data/PXD064912/supplementary/europepmc/mmc1.xlsx,PXD066517,231,7,0.0303030303030303,3.03030303030303,231,7,3.03030303030303,10680,461,4.31647940074906,PXD064912__human sperm__Lactylome (Kla),PXD064912 / human sperm
7,PXD064912,human sperm,normal_tissue,Human sperm,normal human sperm biospecimen,Whole proteome,PXD066517,PXD066517_reference_dataset_union,PXD066517 tumor/reference union,normal human sperm biospecimen,dataset_union,validated_reference_group_union,data/PXD066517/search_results/20240275.tsv,PXD066517,10680,461,0.0431647940074906,4.31647940074906,231,7,3.03030303030303,10680,461,4.31647940074906,PXD064912__human sperm__Whole proteome,PXD064912 / human sperm
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,benign prostatic hyperplasia tissue,Lactylome (Kla),PXD066054,PXD066054_Kla_dataset_union,Benign prostatic hyperplasia tissue,benign prostatic hyperplasia tissue,dataset_union,validated_publication_group_union,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,2118,142,0.0670443814919736,6.70443814919736,2118,142,6.70443814919736,8169,408,4.99449136981271,PXD066054__BPH__Lactylome (Kla),PXD066054 / BPH
8,PXD066054,BPH,normal_tissue,Benign prostatic hyperplasia tissue,benign prostatic hyperplasia tissue,Whole proteome,PXD066054,PXD066054_reference_dataset_union,PXD066054 tumor/reference union,benign prostatic hyperplasia tissue,dataset_union,validated_reference_group_union,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,8169,408,0.0499449136981271,4.99449136981271,2118,142,6.70443814919736,8169,408,4.99449136981271,PXD066054__BPH__Whole proteome,PXD066054 / BPH
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,adjacent liver tissue,Lactylome (Kla),PXD075377,PXD075377_Kla_dataset_union,Adjacent liver tissue,adjacent liver tissue,dataset_union,validated_publication_group_union,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,PXD065775,1775,113,0.0636619718309859,6.36619718309859,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD075377__adjacent liver__Lactylome (Kla),PXD075377 / adjacent liver
9,PXD075377,adjacent liver,normal_tissue,Adjacent liver tissue,adjacent liver tissue,Whole proteome,PXD065775,PXD065775_reference_dataset_union,PXD065775 tumor/reference union,adjacent liver tissue,dataset_union,validated_reference_group_union,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,4251,194,0.0456363208656787,4.56363208656787,1775,113,6.36619718309859,4251,194,4.56363208656787,PXD075377__adjacent liver__Whole proteome,PXD075377 / adjacent liver
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,prostate cancer tissue,Lactylome (Kla),PXD066054,PXD066054_Kla_dataset_union,Prostate cancer tissue,prostate cancer tissue,dataset_union,validated_publication_group_union,data/PXD066054/search_results/extracted/PLa/XB08700B1DPLa_-PTMSiteReport.tsv,PXD066054,2125,143,0.0672941176470588,6.72941176470588,2125,143,6.72941176470588,8203,412,5.02255272461295,PXD066054__prostate cancer__Lactylome (Kla),PXD066054 / prostate cancer
11,PXD066054,prostate cancer,cancer_tissue,Prostate cancer tissue,prostate cancer tissue,Whole proteome,PXD066054,PXD066054_reference_dataset_union,PXD066054 tumor/reference union,prostate cancer tissue,dataset_union,validated_reference_group_union,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,PXD066054,8203,412,0.0502255272461295,5.02255272461295,2125,143,6.72941176470588,8203,412,5.02255272461295,PXD066054__prostate cancer__Whole proteome,PXD066054 / prostate cancer
12,PXD075377,HCC,cancer_tissue,HCC tissue,HCC tissue,Lactylome (Kla),PXD075377,PXD075377_Kla_dataset_union,HCC tissue,HCC tissue,dataset_union,validated_publication_group_union,data/PXD075377/search_results/extracted/2-Basic_analysis/MS_identified_information.txt,PXD065775,1798,121,0.0672969966629588,6.72969966629588,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD075377__HCC__Lactylome (Kla),PXD075377 / HCC
12,PXD075377,HCC,cancer_tissue,HCC tissue,HCC tissue,Whole proteome,PXD065775,PXD065775_reference_dataset_union,PXD065775 tumor/reference union,HCC tissue,dataset_union,validated_reference_group_union,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,PXD065775,5188,271,0.0522359290670779,5.22359290670779,1798,121,6.72969966629588,5188,271,5.22359290670779,PXD075377__HCC__Whole proteome,PXD075377 / HCC
14,PXD060185,MCF7,cancer_cells,MCF7 cells,breast cancer cell line,Lactylome (Kla),PXD060185,PXD060185_Kla_dataset_union,MCF7 cells,breast cancer cell line,dataset_union,validated_publication_group_union,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD030304,1235,132,0.106882591093117,10.6882591093117,1235,132,10.6882591093117,3099,209,6.74411100354953,PXD060185__MCF7__Lactylome (Kla),PXD060185 / MCF7
14,PXD060185,MCF7,cancer_cells,MCF7 cells,breast cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,breast cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,3099,209,0.0674411100354953,6.74411100354953,1235,132,10.6882591093117,3099,209,6.74411100354953,PXD060185__MCF7__Whole proteome,PXD060185 / MCF7
15,PXD028488,HCT116,cancer_cells,HCT116 cells,colorectal cancer cell line,Lactylome (Kla),PXD028488,PXD028488_Kla_dataset_union,HCT116 cells,colorectal cancer cell line,dataset_union,validated_publication_group_union,data/PXD028488/search_results/Enrichment-Search files/HCT116-Enrichment-Search files/DB search psm.csv,PXD030304,240,30,0.125,12.5,240,30,12.5,4010,273,6.80798004987531,PXD028488__HCT116__Lactylome (Kla),PXD028488 / HCT116
15,PXD028488,HCT116,cancer_cells,HCT116 cells,colorectal cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,colorectal cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,4010,273,0.0680798004987531,6.80798004987531,240,30,12.5,4010,273,6.80798004987531,PXD028488__HCT116__Whole proteome,PXD028488 / HCT116
16,PXD053474,HCT116,cancer_cells,HCT116 cells (subcellular fractions),colorectal cancer cell line,Lactylome (Kla),PXD053474,PXD053474_Kla_dataset_union,HCT116 cells (subcellular fractions),colorectal cancer cell line,dataset_union,validated_publication_group_union,data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Cytoplasm-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Membrane-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Mitochondrion-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Nucleus-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-Fraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DDA-Search-files/Subcellular-Enriched-DDA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DDA/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Cytoplasm-Lactylation-Fraction-DIA/Cytoplasm-Lactylation-DIA-ptm-site__Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Membrane-Lactylation-Fraction-DIA/Membrane-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Mitochondrion-Lactylation-Fraction-DIA/Mitochondria-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Nucleus-Lactylation-Fraction-DIA/Nucleus-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-Fraction-DIA/Whole-cell-Lactylation-DIA-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Enriched-DIA-Search-files/Subcellular-Enriched-DIA-Search files/Whole-cell-lysates-Lactylation-NOFraction-DIA/Whole-cell-Lactylation-DIA-NoFrac-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Cytoplasm-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Membrane-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Mitochondrion-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Nucleus-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DDA-Search-files/Subcellular-Unenriched-DDA-Search files/Whole-cell-lysates-DDA-input/peptide.csv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Cytoplasm-DIA-input/Cytoplasm-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Membrane-DIA-input/Membrane-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Mitochondrion-DIA-input/Mitochondria-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Nucleus-DIA-input/Nucleus-DIA-input-ptm-site_Report.tsv;data/PXD053474/search_results/extracted/Subcellular-Whole-cell-lysates-Unenriched-DIA-Search-files/Subcellular-Unenriched-DIA-Search files/Whole-cell-lysates-DIA-input/Whole-cell-DIA-input-ptm-site_Report.tsv;data/PXD053474/supplementary/js4c00366_si_003.xlsx,PXD030304,590,65,0.110169491525424,11.0169491525424,590,65,11.0169491525424,4010,273,6.80798004987531,PXD053474__HCT116__Lactylome (Kla),PXD053474 / HCT116
16,PXD053474,HCT116,cancer_cells,HCT116 cells (subcellular fractions),colorectal cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,colorectal cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,4010,273,0.0680798004987531,6.80798004987531,590,65,11.0169491525424,4010,273,6.80798004987531,PXD053474__HCT116__Whole proteome,PXD053474 / HCT116
17,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,HCT116 cells (control and Roseburia co-culture),colorectal cancer cell line,Lactylome (Kla),PXD066351,PXD066351_Kla_dataset_union,HCT116 cells (control and Roseburia co-culture),colorectal cancer cell line,dataset_union,validated_publication_group_union,data/PXD066351/search_results/XB01472B1DPLa-MSstats_Input.csv,PXD066351,2398,253,0.105504587155963,10.5504587155963,2398,253,10.5504587155963,8130,504,6.19926199261993,PXD066351__HCT116 control and Roseburia co-culture__Lactylome (Kla),PXD066351 / HCT116 control and Roseburia co-culture
17,PXD066351,HCT116 control and Roseburia co-culture,cancer_cells,HCT116 cells (control and Roseburia co-culture),colorectal cancer cell line,Whole proteome,PXD066351,PXD066351_reference_dataset_union,PXD066351 tumor/reference union,colorectal cancer cell line,dataset_union,validated_reference_group_union,data/PXD066351/search_results/XB01472B1DA-Protein_Quant.tsv,PXD066351,8130,504,0.0619926199261993,6.19926199261993,2398,253,10.5504587155963,8130,504,6.19926199261993,PXD066351__HCT116 control and Roseburia co-culture__Whole proteome,PXD066351 / HCT116 control and Roseburia co-culture
18,PXD028488,TALL-104,cancer_cells,TALL-104 cells (sodium lactate),T lymphoblastic leukemia cell line,Lactylome (Kla),PXD028488,PXD028488_Kla_dataset_union,TALL-104 cells (sodium lactate),T lymphoblastic leukemia cell line,dataset_union,validated_publication_group_union,data/PXD028488/search_results/Enrichment-Search files/TALL-NALAC-Search files/DB search psm.csv;data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/DB search psm.csv,PXD028488,368,37,0.10054347826087,10.054347826087,368,37,10.054347826087,3734,253,6.77557579003749,PXD028488__TALL-104__Lactylome (Kla),PXD028488 / TALL-104
18,PXD028488,TALL-104,cancer_cells,TALL-104 cells (sodium lactate),T lymphoblastic leukemia cell line,Whole proteome,PXD028488,PXD028488_reference_dataset_union,PXD028488 tumor/reference union,T lymphoblastic leukemia cell line,dataset_union,validated_reference_group_union,data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/proteins.csv,PXD028488,3734,253,0.0677557579003749,6.77557579003749,368,37,10.054347826087,3734,253,6.77557579003749,PXD028488__TALL-104__Whole proteome,PXD028488 / TALL-104
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",hepatocellular carcinoma cell line,Lactylome (Kla),PXD050147,PXD050147_Kla_dataset_union,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",hepatocellular carcinoma cell line,dataset_union,validated_publication_group_union,data/PXD050147/search_results/Lactyl_K_Sites.txt,PXD050147,2602,285,0.109531129900077,10.9531129900077,2602,285,10.9531129900077,6772,450,6.64500886001181,PXD050147__HepG2 WT and SIRT1 or SIRT3 KO__Lactylome (Kla),PXD050147 / HepG2 WT and SIRT1 or SIRT3 KO
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,cancer_cells,"HepG2 cells (WT, SIRT1 KO and SIRT3 KO)",hepatocellular carcinoma cell line,Whole proteome,PXD050147,PXD050147_reference_dataset_union,PXD050147 tumor/reference union,hepatocellular carcinoma cell line,dataset_union,validated_reference_group_union,data/PXD050147/search_results/SIRT_proteinGroups.txt,PXD050147,6772,450,0.0664500886001181,6.64500886001181,2602,285,10.9531129900077,6772,450,6.64500886001181,PXD050147__HepG2 WT and SIRT1 or SIRT3 KO__Whole proteome,PXD050147 / HepG2 WT and SIRT1 or SIRT3 KO
20,PXD054919,A549,cancer_cells,A549 cells,lung adenocarcinoma cell line,Lactylome (Kla),PXD054919,PXD054919_Kla_dataset_union,A549 cells,lung adenocarcinoma cell line,dataset_union,validated_publication_group_union,data/PXD054919/supplementary/41419_2025_8113_MOESM2_ESM.xlsx,PXD030304,1220,116,0.0950819672131148,9.50819672131148,1220,116,9.50819672131148,3448,226,6.55452436194896,PXD054919__A549__Lactylome (Kla),PXD054919 / A549
20,PXD054919,A549,cancer_cells,A549 cells,lung adenocarcinoma cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,lung adenocarcinoma cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,3448,226,0.0655452436194896,6.55452436194896,1220,116,9.50819672131148,3448,226,6.55452436194896,PXD054919__A549__Whole proteome,PXD054919 / A549
21,PXD060185,MDA-MB-468,cancer_cells,MDA-MB-468 cells,triple-negative breast cancer cell line,Lactylome (Kla),PXD060185,PXD060185_Kla_dataset_union,MDA-MB-468 cells,triple-negative breast cancer cell line,dataset_union,validated_publication_group_union,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD030304,1612,196,0.121588089330025,12.1588089330025,1612,196,12.1588089330025,3760,230,6.11702127659574,PXD060185__MDA-MB-468__Lactylome (Kla),PXD060185 / MDA-MB-468
21,PXD060185,MDA-MB-468,cancer_cells,MDA-MB-468 cells,triple-negative breast cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,triple-negative breast cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,3760,230,0.0611702127659574,6.11702127659574,1612,196,12.1588089330025,3760,230,6.11702127659574,PXD060185__MDA-MB-468__Whole proteome,PXD060185 / MDA-MB-468
22,PXD060185,T-47D,cancer_cells,T-47D cells,breast cancer cell line,Lactylome (Kla),PXD060185,PXD060185_Kla_dataset_union,T-47D cells,breast cancer cell line,dataset_union,validated_publication_group_union,data/PXD060185/search_results/RESULT/combined/txt/La (K)Sites.txt,PXD030304,1301,159,0.122213681783244,12.2213681783244,1301,159,12.2213681783244,3516,228,6.48464163822526,PXD060185__T-47D__Lactylome (Kla),PXD060185 / T-47D
22,PXD060185,T-47D,cancer_cells,T-47D cells,breast cancer cell line,Whole proteome,PXD030304,PXD030304_reference_dataset_union,PXD030304 tumor/reference union,breast cancer cell line,dataset_union,validated_reference_group_union,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,PXD030304,3516,228,0.0648464163822526,6.48464163822526,1301,159,12.2213681783244,3516,228,6.48464163822526,PXD060185__T-47D__Whole proteome,PXD060185 / T-47D
23,PXD063266,PC-3M,cancer_cells,PC-3M cells,prostate cancer cell line,Lactylome (Kla),PXD063266,PXD063266_Kla_dataset_union,PC-3M cells,prostate cancer cell line,dataset_union,validated_publication_group_union,data/PXD063266/search_results/LactylSites.xlsx,PXD022005,384,41,0.106770833333333,10.6770833333333,384,41,10.6770833333333,8049,262,3.25506274071313,PXD063266__PC-3M__Lactylome (Kla),PXD063266 / PC-3M
23,PXD063266,PC-3M,cancer_cells,PC-3M cells,prostate cancer cell line,Whole proteome,PXD022005,PXD022005_reference_dataset_union,PXD022005 tumor/reference union,prostate cancer cell line,dataset_union,validated_reference_group_union,data/PXD022005/search_results/txt_proteomics.zip,PXD022005,8049,262,0.0325506274071313,3.25506274071313,384,41,10.6770833333333,8049,262,3.25506274071313,PXD063266__PC-3M__Whole proteome,PXD063266 / PC-3M
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,glioblastoma stem-cell cultures,Lactylome (Kla),PXD070007,PXD070007_Kla_dataset_union,Glioblastoma stem-cell models,glioblastoma stem-cell cultures,dataset_union,validated_publication_group_union,data/PXD070007/search_results/SA206LPLaB1_Annotation.xlsx,PXD069969,2564,238,0.092823712948518,9.2823712948518,2564,238,9.2823712948518,8374,495,5.91115357057559,PXD070007__glioblastoma stem cells__Lactylome (Kla),PXD070007 / glioblastoma stem cells
24,PXD070007,glioblastoma stem cells,cancer_cells,Glioblastoma stem-cell models,glioblastoma stem-cell cultures,Whole proteome,PXD069969,PXD069969_reference_dataset_union,PXD069969 tumor/reference union,glioblastoma stem-cell cultures,dataset_union,validated_reference_group_union,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,PXD069969,8374,495,0.0591115357057559,5.91115357057559,2564,238,9.2823712948518,8374,495,5.91115357057559,PXD070007__glioblastoma stem cells__Whole proteome,PXD070007 / glioblastoma stem cells
25,PXD078013,RKO WT and GSK3B KO,cancer_cells,RKO cells (WT and GSK3B KO),colorectal cancer cell line,Lactylome (Kla),PXD078013,PXD078013_Kla_dataset_union,RKO cells (WT and GSK3B KO),colorectal cancer cell line,dataset_union,validated_publication_group_union,data/PXD078013/search_results/proteinGroups.txt;data/PXD078013/search_results/evidence.txt,PXD030304,1217,113,0.0928512736236647,9.28512736236647,1217,113,9.28512736236647,3615,252,6.97095435684647,PXD078013__RKO WT and GSK3B KO__Lactylome (Kla),PXD078013 / RKO WT and GSK3B KO
