UniProt,GeneName,Compartment,Function,CatalyticReaction,LastAnnotationUpdate
P21695,GPD1,Cytoplasm,Has glycerol-3-phosphate dehydrogenase activity,sn-glycerol 3-phosphate + NAD(+) = dihydroxyacetone phosphate + NADH + H(+),2026-09-02
P43304,GPD2,Mitochondrion,Calcium-responsive mitochondrial glycerol-3-phosphate dehydrogenase which seems to be a key component of the pancreatic beta-cell glucose-sensing device,a quinone + sn-glycerol 3-phosphate = dihydroxyacetone phosphate + a quinol,2026-09-02
P53597,SUCLG1,Mitochondrion,"Succinyl-CoA synthetase functions in the citric acid cycle (TCA), coupling the hydrolysis of succinyl-CoA to the synthesis of either ATP or GTP and thus represents the only step of substrate-level phosphorylation in the TCA (PubMed:34492704, PubMed:40108300). The alpha subunit of the enzyme binds the substrates coenzyme A and phosphate, while succinate binding and specificity for either ATP or GTP is provided by different beta subunits (By similarity). Also able to act as an itaconyl- and malyl-CoA synthetase (PubMed:40108300)",succinate + ATP + CoA = succinyl-CoA + ADP + phosphate | GTP + succinate + CoA = succinyl-CoA + GDP + phosphate | (S)-malate + ATP + CoA = (S)-malyl-CoA + ADP + phosphate,2026-09-02
P05062,ALDOB,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriolar satellite; Cytoplasm, cytosol","Catalyzes the aldol cleavage of fructose 1,6-biphosphate to form two triosephosphates dihydroxyacetone phosphate and D-glyceraldehyde 3-phosphate in glycolysis as well as the reverse stereospecific aldol addition reaction in gluconeogenesis. In fructolysis, metabolizes fructose 1-phosphate derived from the phosphorylation of dietary fructose by fructokinase into dihydroxyacetone phosphate and D-glyceraldehyde (PubMed:10970798, PubMed:12205126, PubMed:20848650). Acts as an adapter independently of its enzymatic activity, exerts a tumor suppressor role by stabilizing the ternary complex with G6PD and TP53 to inhibit G6PD activity and keep oxidative pentose phosphate metabolism in check (PubMed:35122041)","beta-D-fructose 1,6-bisphosphate = D-glyceraldehyde 3-phosphate + dihydroxyacetone phosphate | beta-D-fructose 1-phosphate = D-glyceraldehyde + dihydroxyacetone phosphate",2026-09-02
P07864,LDHC,Cytoplasm,Possible role in sperm motility,(S)-lactate + NAD(+) = pyruvate + NADH + H(+),2026-09-02
P08559,PDHA1,Mitochondrion matrix,"Together with PDHB forms the heterotetrameric E1 subunit of the pyruvate dehydrogenase (PDH) complex (PubMed:17474719, PubMed:19081061). The PDH complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links cytoplasmic glycolysis and the mitochondrial tricarboxylic acid (TCA) cycle (PubMed:19081061, PubMed:7782287). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and dihydrolipoamide dehydrogenase (E3) (Probable). The E1 subunit catalyzes both the thiamine pyrophosphate (TPP)-dependent decarboxylation of pyruvate and the reductive acetylation of a lipoyl group covalently linked to the lipoyl-bearing domains of E2 (PubMed:17474719, PubMed:19081061, PubMed:7782287)",N(6)-[(R)-lipoyl]-L-lysyl-[protein] + pyruvate + H(+) = N(6)-[(R)-S(8)-acetyldihydrolipoyl]-L-lysyl-[protein] + CO2,2026-09-02
P11498,PC,Mitochondrion matrix,"Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. Catalyzes in a tissue specific manner, the initial reactions of glucose (liver, kidney) and lipid (adipose tissue, liver, brain) synthesis from pyruvate",hydrogencarbonate + pyruvate + ATP = oxaloacetate + ADP + phosphate + H(+),2026-09-02
P24298,GPT,Cytoplasm,"Pyridoxal enzyme tha catalyzes the reversible transamination between alanine and 2-oxoglutarate to form pyruvate and glutamate (PubMed:11863375). By mediating the conversion of these four major intermediate metabolites, plays an important role in gluconeogenesis and amino acid metabolism (PubMed:11863375)",L-alanine + 2-oxoglutarate = pyruvate + L-glutamate,2026-09-02
P35575,G6PC1,Endoplasmic reticulum membrane,"Hydrolyzes glucose-6-phosphate to glucose in the endoplasmic reticulum. Forms with the glucose-6-phosphate transporter (SLC37A4/G6PT) the complex responsible for glucose production in the terminal step of glycogenolysis and gluconeogenesis. Hence, it is the key enzyme in homeostatic regulation of blood glucose levels",D-glucose 6-phosphate + H2O = D-glucose + phosphate,2026-09-02
P49588,AARS1,Cytoplasm; Nucleus,"Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala) (PubMed:27622773, PubMed:27911835, PubMed:28493438, PubMed:33909043). Also edits incorrectly charged tRNA(Ala) via its editing domain (PubMed:27622773, PubMed:27911835, PubMed:28493438, PubMed:29273753). In presence of high levels of lactate, also acts as a protein lactyltransferase that mediates lactylation of lysine residues in target proteins, such as TEAD1, TP53/p53 and YAP1 (PubMed:38512451, PubMed:38653238). Protein lactylation takes place in a two-step reaction: lactate is first activated by ATP to form lactate-AMP and then transferred to lysine residues of target proteins (PubMed:38512451, PubMed:38653238, PubMed:39322678). Acts as an inhibitor of TP53/p53 activity by catalyzing lactylation of TP53/p53 (PubMed:38653238). Acts as a positive regulator of the Hippo pathway by mediating lactylation of TEAD1 and YAP1 (PubMed:38512451)",tRNA(Ala) + L-alanine + ATP = L-alanyl-tRNA(Ala) + AMP + diphosphate | (S)-lactate + ATP + H(+) = (S)-lactoyl-AMP + diphosphate | (S)-lactoyl-AMP + L-lysyl-[protein] = N(6)-[(S)-lactoyl]-L-lysyl-[protein] + AMP + 2 H(+),2026-09-02
P50053,KHK,,Catalyzes the phosphorylation of the ketose sugar fructose to fructose-1-phosphate,beta-D-fructose + ATP = beta-D-fructose 1-phosphate + ADP + H(+),2026-09-02
P53985,SLC16A1,Apical cell membrane; Basolateral cell membrane; Cell membrane,"Bidirectional proton-coupled monocarboxylate transporter (PubMed:12946269, PubMed:32946811, PubMed:33333023). Catalyzes the rapid transport across the plasma membrane of many monocarboxylates such as lactate, pyruvate, acetate and the ketone bodies acetoacetate and beta-hydroxybutyrate, and thus contributes to the maintenance of intracellular pH (PubMed:12946269, PubMed:33333023). The transport direction is determined by the proton motive force and the concentration gradient of the substrate monocarboxylate. MCT1 is a major lactate exporter (By similarity). Plays a role in cellular responses to a high-fat diet by modulating the cellular levels of lactate and pyruvate that contribute to the regulation of central metabolic pathways and insulin secretion, with concomitant effects on plasma insulin levels and blood glucose homeostasis (By similarity). Facilitates the protonated monocarboxylate form of succinate export, that its transient protonation upon muscle cell acidification in exercising muscle and ischemic heart (PubMed:32946811). Functions via alternate outward- and inward-open conformation states. Protonation and deprotonation of 309-Asp is essential for the conformational transition (PubMed:33333023)",(S)-lactate(in) + H(+)(in) = (S)-lactate(out) + H(+)(out) | acetate(out) + H(+)(out) = acetate(in) + H(+)(in) | acetoacetate(out) + H(+)(out) = acetoacetate(in) + H(+)(in) | pyruvate(out) + H(+)(out) = pyruvate(in) + H(+)(in) | (R)-3-hydroxybutanoate(out) + H(+)(out) = (R)-3-hydroxybutanoate(in) + H(+)(in) | 3-methyl-2-oxobutanoate(out) + H(+)(out) = 3-methyl-2-oxobutanoate(in) + H(+)(in) | 4-methyl-2-oxopentanoate(out) + H(+)(out) = 4-methyl-2-oxopentanoate(in) + H(+)(in) | succinate(in) + 2 H(+)(in) = succinate(out) + 2 H(+)(out),2026-09-02
P07195,LDHB,Cytoplasm; Mitochondrion inner membrane,Interconverts simultaneously and stereospecifically pyruvate and lactate with concomitant interconversion of NADH and NAD(+),(S)-lactate + NAD(+) = pyruvate + NADH + H(+),2026-09-02
P10515,DLAT,Mitochondrion matrix,"The pyruvate dehydrogenase (PDH) complex, catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links cytoplasmic glycolysis and the mitochondrial tricarboxylic acid (TCA) cycle (Probable). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and dihydrolipoamide dehydrogenase (E3); (Probable). Within this complex, the catalytic function of this enzyme is to accept, and to transfer to coenzyme A, acetyl groups from acetyl-lipoyl moiety generated by the pyruvate dehydrogenase, leading to acetyl-CoA formation (Probable)",N(6)-[(R)-dihydrolipoyl]-L-lysyl-[protein] + acetyl-CoA = N(6)-[(R)-S(8)-acetyldihydrolipoyl]-L-lysyl-[protein] + CoA,2026-09-02
P11177,PDHB,Mitochondrion matrix,"Together with PDHA1 forms the heterotetrameric E1 subunit of the pyruvate dehydrogenase (PDH) complex (PubMed:17474719, PubMed:19081061). The PDH complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links cytoplasmic glycolysis and the mitochondrial tricarboxylic acid (TCA) cycle (Probable). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and dihydrolipoamide dehydrogenase (E3) (Probable). The E1 subunit catalyzes both the thiamine pyrophosphate (TPP)-dependent decarboxylation of pyruvate and the reductive acetylation of a lipoyl group covalently linked to the lipoyl-bearing domains of E2 (PubMed:19081061)",N(6)-[(R)-lipoyl]-L-lysyl-[protein] + pyruvate + H(+) = N(6)-[(R)-S(8)-acetyldihydrolipoyl]-L-lysyl-[protein] + CO2,2026-09-02
P35613,BSG,"Basolateral cell membrane; Cell membrane; Cell projection, cilium, photoreceptor outer segment; Endoplasmic reticulum membrane; Endosome; Melanosome; Photoreceptor inner segment","Essential for normal retinal maturation and development (By similarity). Acts as a retinal cell surface receptor for NXNL1 and plays an important role in NXNL1-mediated survival of retinal cone photoreceptors (PubMed:25957687). In association with glucose transporter SLC16A1/GLUT1 and NXNL1, promotes retinal cone survival by enhancing aerobic glycolysis and accelerating the entry of glucose into photoreceptors (PubMed:25957687). May act as a potent stimulator of IL6 secretion in multiple cell lines that include monocytes (PubMed:21620857) | (Microbial infection) Erythrocyte receptor for P.falciparum RH5 which is essential for erythrocyte invasion by the merozoite stage of P.falciparum isolates 3D7 and Dd2 | Signaling receptor for cyclophilins, essential for PPIA/CYPA and PPIB/CYPB-dependent signaling related to chemotaxis and adhesion of immune cells (PubMed:11688976, PubMed:11943775). Plays an important role in targeting monocarboxylate transporters SLC16A1/GLUT1, SLC16A11 and SLC16A12 to the plasma membrane (PubMed:17127621, PubMed:21778275, PubMed:28666119). Acts as a coreceptor for vascular endothelial growth factor receptor 2 (KDR/VEGFR2) in endothelial cells enhancing its VEGFA-mediated activation and downstream signaling (PubMed:25825981). Promotes angiogenesis through EPAS1/HIF2A-mediated up-regulation of VEGFA (isoform VEGF-165 and VEGF-121) and KDR/VEGFR2 in endothelial cells (PubMed:19837976). Plays a key role in regulating tumor growth, invasion, metastasis and neoangiogenesis by stimulating the production and release of extracellular matrix metalloproteinases and KDR/VEGFR2 by both tumor cells and stromal cells (fibroblasts and endothelial cells) (PubMed:11992541, PubMed:12553375, PubMed:15833850) | (Microbial infection) Erythrocyte receptor for P.falciparum RH5 which is essential for erythrocyte invasion by the merozoite stage of P.falciparum isolates 3D7, Dd2, 7G8 and HB3 (PubMed:22080952, PubMed:26195724). Binding of P.falciparum RH5 results in BSG dimerization which triggers an increase in intracellular Ca(2+) in the erythrocyte (PubMed:28409866). This essential step leads to a rearrangement of the erythrocyte cytoskeleton required for the merozoite invasion (PubMed:28409866) | (Microbial infection) Can facilitate human SARS coronavirus (SARS-CoV-1) infection via its interaction with virus-associated PPIA/CYPA | (Microbial infection) Can facilitate HIV-1 infection via its interaction with virus-associated PPIA/CYPA | (Microbial infection) First described as a receptor for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), it is not required for SARS-CoV-2 infection | (Microbial infection) Acts as a receptor for measles virus | (Microbial infection) Promotes entry of pentamer-expressing human cytomegalovirus (HCMV) into epithelial and endothelial cells | Plays a role in neurite outgrowth",,2026-09-02
P35573,AGL,Cytoplasm,"Multifunctional enzyme acting as 1,4-alpha-D-glucan:1,4-alpha-D-glucan 4-alpha-D-glycosyltransferase and amylo-1,6-glucosidase in glycogen degradation","Transfers a segment of a (1->4)-alpha-D-glucan to a new position in an acceptor, which may be glucose or a (1->4)-alpha-D-glucan. | Hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen phosphorylase limit dextrin.",2026-09-02
P11217,PYGM,,"Allosteric enzyme that catalyzes the rate-limiting step in glycogen catabolism, the phosphorolytic cleavage of glycogen to produce glucose-1-phosphate, and plays a central role in maintaining cellular and organismal glucose homeostasis",[(1->4)-alpha-D-glucosyl](n) + phosphate = [(1->4)-alpha-D-glucosyl](n-1) + alpha-D-glucose 1-phosphate,2026-09-02
P09622,DLD,"Cell projection, cilium, flagellum; Cytoplasmic vesicle, secretory vesicle, acrosome; Mitochondrion matrix; Nucleus","Lipoamide dehydrogenase is a component of the glycine cleavage system as well as an E3 component of three alpha-ketoacid dehydrogenase complexes (pyruvate-, alpha-ketoglutarate-, and branched-chain amino acid-dehydrogenase complex) (PubMed:15712224, PubMed:16442803, PubMed:16770810, PubMed:17404228, PubMed:20160912, PubMed:20385101). The 2-oxoglutarate dehydrogenase complex is mainly active in the mitochondrion (PubMed:29211711). A fraction of the 2-oxoglutarate dehydrogenase complex also localizes in the nucleus and is required for lysine succinylation of histones: associates with KAT2A on chromatin and provides succinyl-CoA to histone succinyltransferase KAT2A (PubMed:29211711). In monomeric form may have additional moonlighting function as serine protease (PubMed:17404228). Involved in the hyperactivation of spermatazoa during capacitation and in the spermatazoal acrosome reaction (By similarity). The pyruvate dehydrogenase (PDH) complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2), and thereby links cytoplasmic glycolysis and the mitochondrial tricarboxylic acid (TCA) cycle (Probable). It contains multiple copies of three enzymatic components: pyruvate dehydrogenase (E1), dihydrolipoamide acetyltransferase (E2) and dihydrolipoamide dehydrogenase (E3) (Probable). The E3 subunit catalyzes reoxidation of the dihydrolipoyl moiety on lipoyl-bearing domains (LBDs) of E2 with NAD+ as the ultimate electron acceptor (PubMed:16442803, PubMed:16770810, PubMed:20160912, PubMed:20385101)",N(6)-[(R)-dihydrolipoyl]-L-lysyl-[protein] + NAD(+) = N(6)-[(R)-lipoyl]-L-lysyl-[protein] + NADH + H(+),2026-09-02
P35558,PCK1,"Cytoplasm, cytosol; Endoplasmic reticulum","Cytosolic phosphoenolpyruvate carboxykinase that catalyzes the reversible decarboxylation and phosphorylation of oxaloacetate (OAA) and acts as the rate-limiting enzyme in gluconeogenesis (PubMed:24863970, PubMed:26971250, PubMed:28216384, PubMed:30193097). Regulates cataplerosis and anaplerosis, the processes that control the levels of metabolic intermediates in the citric acid cycle (PubMed:24863970, PubMed:26971250, PubMed:28216384, PubMed:30193097). At low glucose levels, it catalyzes the cataplerotic conversion of oxaloacetate to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle (PubMed:30193097). At high glucose levels, it catalyzes the anaplerotic conversion of phosphoenolpyruvate to oxaloacetate (PubMed:30193097). Acts as a regulator of formation and maintenance of memory CD8(+) T-cells: up-regulated in these cells, where it generates phosphoenolpyruvate, via gluconeogenesis (By similarity). The resultant phosphoenolpyruvate flows to glycogen and pentose phosphate pathway, which is essential for memory CD8(+) T-cells homeostasis (By similarity). In addition to the phosphoenolpyruvate carboxykinase activity, also acts as a protein kinase when phosphorylated at Ser-90: phosphorylation at Ser-90 by AKT1 reduces the binding affinity to oxaloacetate and promotes an atypical serine protein kinase activity using GTP as donor (PubMed:32322062). The protein kinase activity regulates lipogenesis: upon phosphorylation at Ser-90, translocates to the endoplasmic reticulum and catalyzes phosphorylation of INSIG proteins (INSIG1 and INSIG2), thereby disrupting the interaction between INSIG proteins and SCAP and promoting nuclear translocation of SREBP proteins (SREBF1/SREBP1 or SREBF2/SREBP2) and subsequent transcription of downstream lipogenesis-related genes (PubMed:32322062)",oxaloacetate + GTP = phosphoenolpyruvate + GDP + CO2 | L-seryl-[protein] + GTP = O-phospho-L-seryl-[protein] + GDP + H(+),2026-09-02
P32189,GK,"Cytoplasm, cytosol; Mitochondrion outer membrane; Nucleus","Kinase that plays a key role in glycerol metabolism, catalyzing its phosphorylation to produce sn-glycerol 3-phosphate. Sn-glycerol 3-phosphate is a crucial intermediate in various metabolic pathways, such as the synthesis of glycerolipids and triglycerides, glycogenesis, glycolysis and gluconeogenesis",glycerol + ATP = sn-glycerol 3-phosphate + ADP + H(+),2026-09-02
Q15120,PDK3,Mitochondrion matrix,"Inhibits pyruvate dehydrogenase activity by phosphorylation of the E1 subunit PDHA1, and thereby regulates glucose metabolism and aerobic respiration. Can also phosphorylate PDHA2. Decreases glucose utilization and increases fat metabolism in response to prolonged fasting, and as adaptation to a high-fat diet. Plays a role in glucose homeostasis and in maintaining normal blood glucose levels in function of nutrient levels and under starvation. Plays a role in the generation of reactive oxygen species",L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ATP = O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ADP + H(+),2026-09-02
Q3LXA3,TKFC,,"Catalyzes both the phosphorylation of dihydroxyacetone and of glyceraldehyde, and the splitting of ribonucleoside diphosphate-X compounds among which FAD is the best substrate. Represses IFIH1-mediated cellular antiviral response (PubMed:17600090)","dihydroxyacetone + ATP = dihydroxyacetone phosphate + ADP + H(+) | D-glyceraldehyde + ATP = D-glyceraldehyde 3-phosphate + ADP + H(+) | FAD = riboflavin cyclic-4',5'-phosphate + AMP + H(+)",2026-09-02
Q15119,PDK2,Mitochondrion matrix,"Kinase that plays a key role in the regulation of glucose and fatty acid metabolism and homeostasis via phosphorylation of the pyruvate dehydrogenase subunits PDHA1 and PDHA2. This inhibits pyruvate dehydrogenase activity, and thereby regulates metabolite flux through the tricarboxylic acid cycle, down-regulates aerobic respiration and inhibits the formation of acetyl-coenzyme A from pyruvate. Inhibition of pyruvate dehydrogenase decreases glucose utilization and increases fat metabolism. Mediates cellular responses to insulin. Plays an important role in maintaining normal blood glucose levels and in metabolic adaptation to nutrient availability. Via its regulation of pyruvate dehydrogenase activity, plays an important role in maintaining normal blood pH and in preventing the accumulation of ketone bodies under starvation. Plays a role in the regulation of cell proliferation and in resistance to apoptosis under oxidative stress. Plays a role in p53/TP53-mediated apoptosis",L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ATP = O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ADP + H(+),2026-09-02
Q1EHB4,SLC5A12,Apical cell membrane,"Acts as an electroneutral and low-affinity sodium Na(+)-dependent sodium-coupled solute transporter (PubMed:17692818). Catalyzes the transport across the plasma membrane of many monocarboxylates such as lactate, pyruvate, nicotinate, propionate, butyrate and beta-D-hydroxybutyrate (By similarity). May be responsible for the first step of reabsorption of monocarboxylates from the lumen of the proximal tubule of the kidney and the small intestine. May play also a role in monocarboxylates transport in the retina (By similarity). Probably part of D-serine transport systems involved in D-serine reabsorption at the brush border of renal proximal tubules",(S)-lactate(out) + Na(+)(out) = (S)-lactate(in) + Na(+)(in) | nicotinate(out) + Na(+)(out) = nicotinate(in) + Na(+)(in) | pyruvate(out) + Na(+)(out) = pyruvate(in) + Na(+)(in) | propanoate(out) + Na(+)(out) = propanoate(in) + Na(+)(in) | butanoate(out) + Na(+)(out) = butanoate(in) + Na(+)(in) | acetoacetate(out) + Na(+)(out) = acetoacetate(in) + Na(+)(in),2026-09-02
Q15118,PDK1,Mitochondrion matrix,"Kinase that plays a key role in regulation of glucose and fatty acid metabolism and homeostasis via phosphorylation of the pyruvate dehydrogenase subunits PDHA1 and PDHA2 (PubMed:7499431, PubMed:18541534, PubMed:22195962, PubMed:26942675, PubMed:17683942). This inhibits pyruvate dehydrogenase activity, and thereby regulates metabolite flux through the tricarboxylic acid cycle, down-regulates aerobic respiration and inhibits the formation of acetyl-coenzyme A from pyruvate (PubMed:18541534, PubMed:22195962, PubMed:26942675). Plays an important role in cellular responses to hypoxia and is important for cell proliferation under hypoxia (PubMed:18541534, PubMed:22195962, PubMed:26942675)",L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ATP = O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ADP + H(+),2026-09-02
Q16654,PDK4,Mitochondrion matrix,"Kinase that plays a key role in regulation of glucose and fatty acid metabolism and homeostasis via phosphorylation of the pyruvate dehydrogenase subunits PDHA1 and PDHA2. This inhibits pyruvate dehydrogenase activity, and thereby regulates metabolite flux through the tricarboxylic acid cycle, down-regulates aerobic respiration and inhibits the formation of acetyl-coenzyme A from pyruvate. Inhibition of pyruvate dehydrogenase decreases glucose utilization and increases fat metabolism in response to prolonged fasting and starvation. Plays an important role in maintaining normal blood glucose levels under starvation, and is involved in the insulin signaling cascade. Via its regulation of pyruvate dehydrogenase activity, plays an important role in maintaining normal blood pH and in preventing the accumulation of ketone bodies under starvation. In the fed state, mediates cellular responses to glucose levels and to a high-fat diet. Regulates both fatty acid oxidation and de novo fatty acid biosynthesis. Plays a role in the generation of reactive oxygen species. Protects detached epithelial cells against anoikis. Plays a role in cell proliferation via its role in regulating carbohydrate and fatty acid metabolism",L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ATP = O-phospho-L-seryl-[pyruvate dehydrogenase E1 alpha subunit] + ADP + H(+),2026-09-02
Q04760,GLO1,,"Catalyzes the conversion of hemimercaptal, formed from methylglyoxal and glutathione, to S-lactoylglutathione (PubMed:20454679, PubMed:23122816, PubMed:9705294). Involved in the regulation of TNF-induced transcriptional activity of NF-kappa-B (PubMed:19199007). Required for normal osteoclastogenesis (By similarity)",(R)-S-lactoylglutathione = methylglyoxal + glutathione,2026-09-02
Q16775,HAGH,Cytoplasm; Mitochondrion matrix,Thiolesterase that catalyzes the hydrolysis of S-D-lactoyl-glutathione to form glutathione and D-lactic acid,an S-(2-hydroxyacyl)glutathione + H2O = a 2-hydroxy carboxylate + glutathione + H(+) | (R)-S-lactoylglutathione + H2O = (R)-lactate + glutathione + H(+),2026-09-02
Q16822,PCK2,Mitochondrion,"Mitochondrial phosphoenolpyruvate carboxykinase that catalyzes the conversion of oxaloacetate (OAA) to phosphoenolpyruvate (PEP), the rate-limiting step in the metabolic pathway that produces glucose from lactate and other precursors derived from the citric acid cycle (PubMed:28955899). Can play an active role in glyceroneogenesis and gluconeogenesis (PubMed:28955899). In lipogenic cells such as adipocytes, it generates PEP via the mitochondrial pyruvate-to-PEP bypass, driving the PEP flux required for cytosolic glycerol 3-phosphate and triglyceride synthesis (By similarity). Also acts as a serine/threonine-protein kinase: phosphorylates and activates ACSL4, thereby promoting ferroptosis (PubMed:38720107)",oxaloacetate + GTP = phosphoenolpyruvate + GDP + CO2 | L-threonyl-[protein] + ATP = O-phospho-L-threonyl-[protein] + ADP + H(+),2026-09-02
