BaseAccession	PanelMembership	EnsemblGeneIDs	NGeneIDs	AmbiguousGeneMapping	EntrezGeneIDs	EnsemblGeneViaEntrez	CachedEnsemblProteinIDs	CrossCheck
A0A140T940	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140T967	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140T982	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140T9I9	DdrGoUniverse	ENSG00000233345	1	False				route2_unavailable_no_entrez
A0A140T9J3	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140T9P6	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140T9W0	DdrGoUniverse	ENSG00000235569	1	False				route2_unavailable_no_entrez
A0A140VJI9	DdrGoUniverse		0	False	493861	ENSG00000255150		no_ensembl_gene
A0A140VJQ2	ReferenceDdr		0	False	4869	ENSG00000181163	ENSP00000377408	no_ensembl_gene
A0A140VJS6	ReferenceDdr		0	False	5690	ENSG00000126067	ENSP00000362334	no_ensembl_gene
A0A140VJS7	ReferenceDdr		0	False	5693	ENSG00000100804	ENSP00000395206	no_ensembl_gene
A0A140VJS9	ReferenceDdr		0	False	5499	ENSG00000172531	ENSP00000326031	no_ensembl_gene
A0A140VJV9	DdrGoUniverse		0	False	84690	ENSG00000141255		no_ensembl_gene
A0A140VK09	ReferenceDdr		0	False	10519	ENSG00000185043	ENSP00000333873	no_ensembl_gene
A0A140VK43	ReferenceDdr		0	False	5684	ENSG00000100567	ENSP00000216455	no_ensembl_gene
A0A140VK44	ReferenceDdr		0	False	5687	ENSG00000100902	ENSP00000261479	no_ensembl_gene
A0A140VK45	ReferenceDdr		0	False	5689	ENSG00000008018	ENSP00000262193	no_ensembl_gene
A0A140VK46	ReferenceDdr		0	False	5692	ENSG00000159377	ENSP00000290541	no_ensembl_gene
A0A140VKF2	ReferenceDdr		0	False	10213	ENSG00000115233	ENSP00000386541	no_ensembl_gene
A0A1B0GTC3	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GTC5	DdrGoUniverse	ENSG00000140718	1	False	79068	ENSG00000140718		agree
A0A1B0GTI3	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GTY1	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GTZ8	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GU26	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GUC3	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GUY7	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GV98	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1B0GVH5	DdrGoUniverse	ENSG00000140718	1	False				route2_unavailable_no_entrez
A0A1C9J732	DdrGoUniverse		0	False				no_ensembl_gene
A0A1C9J735	DdrGoUniverse		0	False				no_ensembl_gene
A0A1S5RA93	DdrGoUniverse		0	False				no_ensembl_gene
A0A1U9X7A6	ReferenceDdr		0	False			ENSP00000365143	no_ensembl_gene
A0A1U9X7S4	ReferenceDdr		0	False			ENSP00000259895	no_ensembl_gene
A0A1U9X8A3	ReferenceDdr		0	False			ENSP00000363636	no_ensembl_gene
A0A1U9XBC1	ReferenceDdr		0	False			ENSP00000365588	no_ensembl_gene
A0A1W1GSK9	DdrGoUniverse;ReferenceDdr		0	False	2072	ENSG00000175595	ENSP00000310520	no_ensembl_gene
A0A1W1GST9	DdrGoUniverse		0	False				no_ensembl_gene
A0A1W2PPV1	DdrGoUniverse	ENSG00000270181	1	False	100533467	ENSG00000270181		agree
A0A1W2PQ90	DdrGoUniverse	ENSG00000283782	1	False				route2_unavailable_no_entrez
A0A1W2PS85	DdrGoUniverse	ENSG00000270181	1	False				route2_unavailable_no_entrez
A0A286YFD6	DdrGoUniverse	ENSG00000171848	1	False				route2_unavailable_no_entrez
A0A2H2FF08	DdrGoUniverse	ENSG00000072121	1	False				route2_unavailable_no_entrez
A0A2R8Y5I1	DdrGoUniverse	ENSG00000049167	1	False				route2_unavailable_no_entrez
A0A2R8Y5L2	DdrGoUniverse	ENSG00000163161	1	False				route2_unavailable_no_entrez
A0A2R8Y681	DdrGoUniverse	ENSG00000163161	1	False				route2_unavailable_no_entrez
A0A2R8Y6P0	DdrGoUniverse	ENSG00000095002	1	False	4436	ENSG00000095002		agree
A0A2R8Y6S3	DdrGoUniverse	ENSG00000122512	1	False	5395	ENSG00000122512		agree
A0A2R8Y6W8	DdrGoUniverse	ENSG00000163161	1	False	2071	ENSG00000163161		agree
A0A2R8Y6Y9	DdrGoUniverse	ENSG00000012048	1	False				route2_unavailable_no_entrez
A0A2R8Y713	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0A2R8Y7S8	DdrGoUniverse	ENSG00000095002	1	False				route2_unavailable_no_entrez
A0A2R8Y7V5	DdrGoUniverse	ENSG00000012048	1	False	672	ENSG00000012048		agree
A0A2R8YCU7	DdrGoUniverse	ENSG00000101596	1	False				route2_unavailable_no_entrez
A0A2R8YD24	DdrGoUniverse	ENSG00000049167	1	False				route2_unavailable_no_entrez
A0A2R8YDV8	DdrGoUniverse	ENSG00000181544	1	False				route2_unavailable_no_entrez
A0A2R8YE92	DdrGoUniverse	ENSG00000101596	1	False				route2_unavailable_no_entrez
A0A2R8YES7	DdrGoUniverse	ENSG00000163161	1	False				route2_unavailable_no_entrez
A0A2R8YEZ3	DdrGoUniverse	ENSG00000049167	1	False				route2_unavailable_no_entrez
A0A2R8YFH0	DdrGoUniverse	ENSG00000095002	1	False	4436	ENSG00000095002		agree
A0A2R8YG02	DdrGoUniverse	ENSG00000095002	1	False	4436	ENSG00000095002		agree
A0A2S1ZR87	ReferenceDdr		0	False	79677	ENSG00000163029	ENSP00000323439	no_ensembl_gene
A0A2Z2E9D2	DdrGoUniverse		0	False				no_ensembl_gene
A0A384MDM5	ReferenceDdr		0	False	51567	ENSG00000111802	ENSP00000367440	no_ensembl_gene
A0A384MDZ1	DdrGoUniverse		0	False				no_ensembl_gene
A0A384ME99	DdrGoUniverse		0	False				no_ensembl_gene
A0A384MEK2	DdrGoUniverse		0	False	7516	ENSG00000196584		no_ensembl_gene
A0A384MQX1	ReferenceDdr		0	False	4000	ENSG00000160789	ENSP00000357283	no_ensembl_gene
A0A384MR33	ReferenceDdr		0	False	8243	ENSG00000072501	ENSP00000323421	no_ensembl_gene
A0A384MTQ8	DdrGoUniverse;ReferenceDdr		0	False	2965	ENSG00000110768	ENSP00000265963	no_ensembl_gene
A0A384MTU6	ReferenceDdr		0	False	8317	ENSG00000097046	ENSP00000234626	no_ensembl_gene
A0A384MTW7	ReferenceDdr		0	False	4830	ENSG00000239672	ENSP00000376892	no_ensembl_gene
A0A384N5Z8	ReferenceDdr		0	False	6421	ENSG00000116560	ENSP00000349748	no_ensembl_gene
A0A384NL22	ReferenceDdr		0	False	5691	ENSG00000277791	ENSP00000483688	no_ensembl_gene
A0A384P5U2	ReferenceDdr		0	False	8125	ENSG00000140350	ENSP00000417864	no_ensembl_gene
A0A386IN02	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN05	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN15	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN16	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN22	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN23	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN34	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN41	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN42	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN52	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN53	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IN60	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IND4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INE3	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INF6	DdrGoUniverse		0	False				no_ensembl_gene
A0A386ING3	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INH9	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INJ5	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INK6	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INL2	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INM2	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INP3	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INP8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386INQ5	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IP79	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IP85	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IP91	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IP96	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPA8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPB0	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPH1	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPH8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPI4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPJ4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPK6	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPL0	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV1	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV2	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV3	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV5	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV6	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPV8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPW1	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPW2	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPW3	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPW4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPW7	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPX7	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPX8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPY0	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPY1	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPY5	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IPY7	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IQ46	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IQ50	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IQ54	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IQ64	DdrGoUniverse		0	False				no_ensembl_gene
A0A386IQ66	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NC04	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NC05	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NC12	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NC51	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NCA1	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NCT4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NCW0	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NDA4	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NFW8	DdrGoUniverse		0	False				no_ensembl_gene
A0A386NG36	DdrGoUniverse		0	False				no_ensembl_gene
A0A3B3IS26	DdrGoUniverse	ENSG00000158169	1	False				route2_unavailable_no_entrez
A0A3B3IS92	DdrGoUniverse	ENSG00000158169	1	False				route2_unavailable_no_entrez
A0A3B3IT82	DdrGoUniverse	ENSG00000197299	1	False				route2_unavailable_no_entrez
A0A3B3ITN9	DdrGoUniverse	ENSG00000158169	1	False				route2_unavailable_no_entrez
A0A3B3ITU7	DdrGoUniverse	ENSG00000112039	1	False				route2_unavailable_no_entrez
A0A3B3IU87	DdrGoUniverse	ENSG00000158169	1	False				route2_unavailable_no_entrez
A0A3G1CIL2	DdrGoUniverse		0	False				no_ensembl_gene
A0A3G1CIM0	DdrGoUniverse		0	False				no_ensembl_gene
A0A494BZW0	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494BZX5	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494BZX8	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494BZZ6	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0A494C052	DdrGoUniverse	ENSG00000134899	1	False				route2_unavailable_no_entrez
A0A494C0B4	DdrGoUniverse	ENSG00000179262	1	False				route2_unavailable_no_entrez
A0A494C0B8	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C0F0	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C0J6	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C0M1	DdrGoUniverse	ENSG00000116062	1	False	2956	ENSG00000116062		agree
A0A494C0M4	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C0Q0	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C0S2	DdrGoUniverse	ENSG00000134899	1	False				route2_unavailable_no_entrez
A0A494C0Y7	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494C0Z4	DdrGoUniverse	ENSG00000175854	1	False				route2_unavailable_no_entrez
A0A494C100	DdrGoUniverse	ENSG00000286235	1	False				route2_unavailable_no_entrez
A0A494C106	DdrGoUniverse	ENSG00000065057	1	False				route2_unavailable_no_entrez
A0A494C111	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C113	DdrGoUniverse	ENSG00000134899	1	False				route2_unavailable_no_entrez
A0A494C122	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494C179	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C182	DdrGoUniverse	ENSG00000012048	1	False				route2_unavailable_no_entrez
A0A494C1B7	DdrGoUniverse	ENSG00000113522	1	False				route2_unavailable_no_entrez
A0A494C1F7	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C1H0	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C1I3	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C1P7	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A494C1S1	DdrGoUniverse	ENSG00000131778	1	False				route2_unavailable_no_entrez
A0A4P8DKN2	DdrGoUniverse		0	False				no_ensembl_gene
A0A4P8DKQ8	DdrGoUniverse		0	False				no_ensembl_gene
A0A4P8DKU7	DdrGoUniverse		0	False				no_ensembl_gene
A0A4P8DL22	DdrGoUniverse		0	False				no_ensembl_gene
A0A4P8DL54	DdrGoUniverse		0	False				no_ensembl_gene
A0A4P8DLA0	DdrGoUniverse		0	False				no_ensembl_gene
A0A590UJ01	DdrGoUniverse	ENSG00000175054	1	False				route2_unavailable_no_entrez
A0A590UJ12	DdrGoUniverse	ENSG00000182150	1	False	375748	ENSG00000182150		agree
A0A590UJ24	DdrGoUniverse	ENSG00000139618	1	False				route2_unavailable_no_entrez
A0A590UJ38	DdrGoUniverse	ENSG00000198690	1	False				route2_unavailable_no_entrez
A0A590UJA1	DdrGoUniverse	ENSG00000182150	1	False	375748	ENSG00000182150		agree
A0A590UJF5	DdrGoUniverse	ENSG00000198690	1	False				route2_unavailable_no_entrez
A0A590UJI7	DdrGoUniverse	ENSG00000139618	1	False				route2_unavailable_no_entrez
A0A590UJL5	DdrGoUniverse	ENSG00000198690	1	False				route2_unavailable_no_entrez
A0A590UJN8	DdrGoUniverse	ENSG00000113318	1	False				route2_unavailable_no_entrez
A0A590UJU6	DdrGoUniverse	ENSG00000139618	1	False				route2_unavailable_no_entrez
A0A590UJV1	DdrGoUniverse	ENSG00000182150	1	False				route2_unavailable_no_entrez
A0A590UJW0	DdrGoUniverse	ENSG00000113318	1	False				route2_unavailable_no_entrez
A0A590UK39	DdrGoUniverse	ENSG00000113318	1	False				route2_unavailable_no_entrez
A0A590UK78	DdrGoUniverse	ENSG00000198690	1	False				route2_unavailable_no_entrez
A0A590UKC0	DdrGoUniverse	ENSG00000198690	1	False				route2_unavailable_no_entrez
A0A590UKC9	DdrGoUniverse	ENSG00000113318	1	False				route2_unavailable_no_entrez
A0A5F9UKL4	DdrGoUniverse	ENSG00000182150	1	False	375748	ENSG00000182150		agree
A0A5F9ZGZ0	DdrGoUniverse	ENSG00000288208	1	False				route2_unavailable_no_entrez
A0A5F9ZHD6	DdrGoUniverse	ENSG00000177084	1	False				route2_unavailable_no_entrez
A0A5F9ZHI2	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0A5F9ZI14	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0A5F9ZI42	DdrGoUniverse	ENSG00000177084	1	False				route2_unavailable_no_entrez
A0A5F9ZI60	DdrGoUniverse	ENSG00000132781	1	False				route2_unavailable_no_entrez
A0A5K1VW64	DdrGoUniverse	ENSG00000137074	1	False	54840	ENSG00000137074		agree
A0A5S6SZ32	DdrGoUniverse;ReferenceDdr	ENSG00000164306	1	False	201973	ENSG00000164306	ENSP00000421913	agree
A0A649U8H0	DdrGoUniverse		0	False				no_ensembl_gene
A0A649UB25	DdrGoUniverse		0	False				no_ensembl_gene
