SampleID,ReferenceKey,DonorKey,DonorKnown,ConnGroup,Split
GTEX-11DXW-0011-R1a-SM-DNZZD,GTEx_v8_Hippocampus,GTEX-11DXW,TRUE,2,Within-material training
GTEX-11EI6-0011-R1a-SM-DO93L,GTEx_v8_Hippocampus,GTEX-11EI6,TRUE,2,Within-material training
GTEX-11GS4-0011-R1a-SM-DO129,GTEx_v8_Hippocampus,GTEX-11GS4,TRUE,2,Within-material training
GTEX-11GSO-0011-R1b-SM-57WD3,GTEx_v8_Hippocampus,GTEX-11GSO,TRUE,2,Within-material training
GTEX-11GSP-0011-R1a-SM-9QEJ3,GTEx_v8_Hippocampus,GTEX-11GSP,TRUE,2,Within-material training
GTEX-11ONC-0011-R1a-SM-57WD4,GTEx_v8_Hippocampus,GTEX-11ONC,TRUE,2,Within-material training
GTEX-11TUW-0011-R1a-SM-DO92S,GTEx_v8_Hippocampus,GTEX-11TUW,TRUE,2,Within-material training
GTEX-11UD1-0011-R1b-SM-5BC7D,GTEx_v8_Hippocampus,GTEX-11UD1,TRUE,2,Within-material training
GTEX-11WQC-0011-R1b-SM-DO932,GTEx_v8_Hippocampus,GTEX-11WQC,TRUE,2,Within-material training
GTEX-11ZTS-0011-R1a-SM-5BC71,GTEx_v8_Hippocampus,GTEX-11ZTS,TRUE,2,Within-material training
GTEX-11ZVC-0011-R1b-SM-5BC6M,GTEx_v8_Hippocampus,GTEX-11ZVC,TRUE,2,Within-material test
GTEX-1212Z-0011-R1b-SM-5BC72,GTEx_v8_Hippocampus,GTEX-1212Z,TRUE,2,Within-material training
GTEX-12WSD-0011-R1b-SM-5LZVY,GTEx_v8_Hippocampus,GTEX-12WSD,TRUE,2,Within-material training
GTEX-12WSE-0011-R1b-SM-5GU4V,GTEx_v8_Hippocampus,GTEX-12WSE,TRUE,2,Within-material training
GTEX-12WSF-0011-R1a-SM-5DUVI,GTEx_v8_Hippocampus,GTEX-12WSF,TRUE,2,Within-material training
GTEX-12WSH-0011-R1a-SM-5GU5V,GTEx_v8_Hippocampus,GTEX-12WSH,TRUE,2,Within-material training
GTEX-12WSM-0011-R1a-SM-5LZW6,GTEx_v8_Hippocampus,GTEX-12WSM,TRUE,2,Within-material test
GTEX-12ZZX-0011-R1a-SM-5EQ6B,GTEx_v8_Hippocampus,GTEX-12ZZX,TRUE,2,Within-material training
GTEX-13112-0011-R1b-SM-5HL7K,GTEx_v8_Hippocampus,GTEX-13112,TRUE,2,Within-material test
GTEX-1313W-0011-R1b-SM-5EQ4A,GTEx_v8_Hippocampus,GTEX-1313W,TRUE,2,Within-material training
GTEX-131XH-0011-R1a-SM-5DUWA,GTEx_v8_Hippocampus,GTEX-131XH,TRUE,2,Within-material training
GTEX-131YS-0011-R1a-SM-5DUXC,GTEx_v8_Hippocampus,GTEX-131YS,TRUE,2,Within-material training
GTEX-132Q8-0011-R1a-SM-5EGLK,GTEx_v8_Hippocampus,GTEX-132Q8,TRUE,2,Within-material test
GTEX-1399T-0011-R1b-SM-5DUWN,GTEx_v8_Hippocampus,GTEX-1399T,TRUE,2,Within-material training
GTEX-139T8-0011-R1a-SM-5HL75,GTEx_v8_Hippocampus,GTEX-139T8,TRUE,2,Within-material training
GTEX-139TT-0011-R1a-SM-5LZVD,GTEx_v8_Hippocampus,GTEX-139TT,TRUE,2,Within-material test
GTEX-13CF2-0011-R1a-SM-5LZY1,GTEx_v8_Hippocampus,GTEX-13CF2,TRUE,2,Within-material training
GTEX-13FHO-0011-R1b-SM-5KLZG,GTEx_v8_Hippocampus,GTEX-13FHO,TRUE,2,Within-material test
GTEX-13FHP-0011-R1b-SM-5K7XL,GTEx_v8_Hippocampus,GTEX-13FHP,TRUE,2,Within-material training
GTEX-13FLW-0011-R1b-SM-5LZX2,GTEx_v8_Hippocampus,GTEX-13FLW,TRUE,2,Within-material training
GTEX-13FTY-0011-R1a-SM-5LZXE,GTEx_v8_Hippocampus,GTEX-13FTY,TRUE,2,Within-material training
GTEX-13FXS-0011-R1a-SM-5K7U6,GTEx_v8_Hippocampus,GTEX-13FXS,TRUE,2,Within-material test
GTEX-13G51-0011-R1a-SM-5LZYR,GTEx_v8_Hippocampus,GTEX-13G51,TRUE,2,Within-material test
GTEX-13JUV-0011-R1a-SM-5LZY4,GTEx_v8_Hippocampus,GTEX-13JUV,TRUE,2,Within-material training
GTEX-13JVG-0011-R1a-SM-5KM32,GTEx_v8_Hippocampus,GTEX-13JVG,TRUE,2,Within-material training
GTEX-13N1W-0011-R1b-SM-5MR4T,GTEx_v8_Hippocampus,GTEX-13N1W,TRUE,2,Within-material training
GTEX-13N2G-0011-R1b-SM-5MR3G,GTEx_v8_Hippocampus,GTEX-13N2G,TRUE,2,Within-material training
GTEX-13NYB-0011-R1b-SM-5KM4F,GTEx_v8_Hippocampus,GTEX-13NYB,TRUE,2,Within-material training
GTEX-13NYS-0011-R1b-SM-5MR55,GTEx_v8_Hippocampus,GTEX-13NYS,TRUE,2,Within-material training
GTEX-13NZ8-0011-R1b-SM-5KM3V,GTEx_v8_Hippocampus,GTEX-13NZ8,TRUE,2,Within-material training
GTEX-13NZA-0011-R1b-SM-5LUAF,GTEx_v8_Hippocampus,GTEX-13NZA,TRUE,2,Within-material training
GTEX-13O3O-0011-R1b-SM-5KM2K,GTEx_v8_Hippocampus,GTEX-13O3O,TRUE,2,Within-material test
GTEX-13O3Q-0011-R1b-SM-5KM3L,GTEx_v8_Hippocampus,GTEX-13O3Q,TRUE,2,Within-material training
GTEX-13OVJ-0011-R1b-SM-5L3I6,GTEx_v8_Hippocampus,GTEX-13OVJ,TRUE,2,Within-material training
GTEX-13OVL-0011-R1a-SM-5L3H5,GTEx_v8_Hippocampus,GTEX-13OVL,TRUE,2,Within-material training
GTEX-13OW5-0011-R1b-SM-5L3GE,GTEx_v8_Hippocampus,GTEX-13OW5,TRUE,2,Within-material training
GTEX-13OW6-0011-R1a-SM-5L3HQ,GTEx_v8_Hippocampus,GTEX-13OW6,TRUE,2,Within-material training
GTEX-13OW7-0011-R1b-SM-5L3HF,GTEx_v8_Hippocampus,GTEX-13OW7,TRUE,2,Within-material training
GTEX-13OW8-0011-R1a-SM-5L3HI,GTEx_v8_Hippocampus,GTEX-13OW8,TRUE,2,Within-material training
GTEX-13PDP-0011-R1a-SM-5PNX5,GTEx_v8_Hippocampus,GTEX-13PDP,TRUE,2,Within-material training
GTEX-13QIC-0011-R1a-SM-5O9CJ,GTEx_v8_Hippocampus,GTEX-13QIC,TRUE,2,Within-material training
GTEX-13QJC-0011-R1b-SM-5S2UU,GTEx_v8_Hippocampus,GTEX-13QJC,TRUE,2,Within-material training
GTEX-13RTJ-0011-R1a-SM-5O9D9,GTEx_v8_Hippocampus,GTEX-13RTJ,TRUE,2,Within-material training
GTEX-13RTL-0011-R1a-SM-5PNZ8,GTEx_v8_Hippocampus,GTEX-13RTL,TRUE,2,Within-material training
GTEX-13S7M-0011-R1b-SM-5PNZE,GTEx_v8_Hippocampus,GTEX-13S7M,TRUE,2,Within-material training
GTEX-13SLW-0011-R1a-SM-5S2W7,GTEx_v8_Hippocampus,GTEX-13SLW,TRUE,2,Within-material test
GTEX-13X6I-0011-R1b-SM-5PNZC,GTEx_v8_Hippocampus,GTEX-13X6I,TRUE,2,Within-material training
GTEX-144GL-0011-R1a-SM-5PNZ5,GTEx_v8_Hippocampus,GTEX-144GL,TRUE,2,Within-material training
GTEX-144GO-0011-R1a-SM-5PNWO,GTEx_v8_Hippocampus,GTEX-144GO,TRUE,2,Within-material training
GTEX-145LS-0011-R1b-SM-5PNUP,GTEx_v8_Hippocampus,GTEX-145LS,TRUE,2,Within-material training
GTEX-145LU-0011-R1a-SM-5Q5CE,GTEx_v8_Hippocampus,GTEX-145LU,TRUE,2,Within-material test
GTEX-145MH-0011-R1b-SM-5PNWY,GTEx_v8_Hippocampus,GTEX-145MH,TRUE,2,Within-material test
GTEX-14ABY-0011-R1a-SM-6EU2W,GTEx_v8_Hippocampus,GTEX-14ABY,TRUE,2,Within-material training
GTEX-14ASI-0011-R1b-SM-5S2TY,GTEx_v8_Hippocampus,GTEX-14ASI,TRUE,2,Within-material test
GTEX-14BIM-0011-R1a-SM-69LQI,GTEx_v8_Hippocampus,GTEX-14BIM,TRUE,2,Within-material training
GTEX-14C5O-0011-R1b-SM-6AJBW,GTEx_v8_Hippocampus,GTEX-14C5O,TRUE,2,Within-material training
GTEX-14E6D-0011-R1b-SM-5YYAW,GTEx_v8_Hippocampus,GTEX-14E6D,TRUE,2,Within-material training
GTEX-14E7W-0011-R1b-SM-5YYAT,GTEx_v8_Hippocampus,GTEX-14E7W,TRUE,2,Within-material training
GTEX-14JIY-0011-R1a-SM-68713,GTEx_v8_Hippocampus,GTEX-14JIY,TRUE,2,Within-material training
GTEX-14LLW-0011-R1a-SM-5ZZVD,GTEx_v8_Hippocampus,GTEX-14LLW,TRUE,2,Within-material test
GTEX-14LZ3-0011-R1a-SM-69LP5,GTEx_v8_Hippocampus,GTEX-14LZ3,TRUE,2,Within-material test
GTEX-14PJM-0011-R1a-SM-CNPO3,GTEx_v8_Hippocampus,GTEX-14PJM,TRUE,2,Within-material training
GTEX-14PJO-0011-R1b-SM-6AJAK,GTEx_v8_Hippocampus,GTEX-14PJO,TRUE,2,Within-material training
GTEX-14PN4-0011-R1b-SM-69LP8,GTEx_v8_Hippocampus,GTEX-14PN4,TRUE,2,Within-material training
GTEX-14PQA-0011-R1b-SM-6EU1G,GTEx_v8_Hippocampus,GTEX-14PQA,TRUE,2,Within-material training
GTEX-15CHQ-0011-R1a-SM-COH27,GTEx_v8_Hippocampus,GTEX-15CHQ,TRUE,2,Within-material training
GTEX-15DCD-0011-R1b-SM-6LPIJ,GTEx_v8_Hippocampus,GTEX-15DCD,TRUE,2,Within-material training
GTEX-15ER7-0011-R1b-SM-7KUE1,GTEx_v8_Hippocampus,GTEX-15ER7,TRUE,2,Within-material training
GTEX-15UF6-0011-R1a-SM-9QEGH,GTEx_v8_Hippocampus,GTEX-15UF6,TRUE,2,Within-material training
GTEX-16GPK-0011-R1b-SM-7EWDH,GTEx_v8_Hippocampus,GTEX-16GPK,TRUE,2,Within-material training
GTEX-16NPV-0011-R1b-SM-7MGVZ,GTEx_v8_Hippocampus,GTEX-16NPV,TRUE,2,Within-material training
GTEX-16XZZ-0011-R1a-SM-7LTAH,GTEx_v8_Hippocampus,GTEX-16XZZ,TRUE,2,Within-material training
GTEX-16YQH-0011-R1a-SM-7LT8R,GTEx_v8_Hippocampus,GTEX-16YQH,TRUE,2,Within-material training
GTEX-16Z82-0011-R1b-SM-7EPHZ,GTEx_v8_Hippocampus,GTEX-16Z82,TRUE,2,Within-material training
GTEX-17EVP-0011-R1a-SM-7DHLA,GTEx_v8_Hippocampus,GTEX-17EVP,TRUE,2,Within-material training
GTEX-17EVQ-0011-R1a-SM-7189S,GTEx_v8_Hippocampus,GTEX-17EVQ,TRUE,2,Within-material training
GTEX-17F97-0011-R1b-SM-7IGM9,GTEx_v8_Hippocampus,GTEX-17F97,TRUE,2,Within-material training
GTEX-17HG3-0011-R1a-SM-7LG6H,GTEx_v8_Hippocampus,GTEX-17HG3,TRUE,2,Within-material training
GTEX-17HHY-0011-R1a-SM-7189V,GTEx_v8_Hippocampus,GTEX-17HHY,TRUE,2,Within-material test
GTEX-17HII-0011-R1b-SM-7MGVW,GTEx_v8_Hippocampus,GTEX-17HII,TRUE,2,Within-material training
GTEX-17JCI-0011-R1b-SM-718A3,GTEx_v8_Hippocampus,GTEX-17JCI,TRUE,2,Within-material training
GTEX-17MF6-0011-R1a-SM-72D6O,GTEx_v8_Hippocampus,GTEX-17MF6,TRUE,2,Within-material training
GTEX-183WM-0011-R1a-SM-718A8,GTEx_v8_Hippocampus,GTEX-183WM,TRUE,2,Within-material training
GTEX-18A6Q-0011-R1b-SM-731DI,GTEx_v8_Hippocampus,GTEX-18A6Q,TRUE,2,Within-material test
GTEX-1A32A-0011-R1a-SM-7P8SQ,GTEx_v8_Hippocampus,GTEX-1A32A,TRUE,2,Within-material training
GTEX-1A3MX-0011-R1b-SM-7P8PH,GTEx_v8_Hippocampus,GTEX-1A3MX,TRUE,2,Within-material training
GTEX-1A8G6-0011-R1a-SM-7P8PC,GTEx_v8_Hippocampus,GTEX-1A8G6,TRUE,2,Within-material training
GTEX-1AX9I-0011-R1b-SM-7RHG2,GTEx_v8_Hippocampus,GTEX-1AX9I,TRUE,2,Within-material training
GTEX-1B8L1-0011-R1a-SM-7P8SS,GTEx_v8_Hippocampus,GTEX-1B8L1,TRUE,2,Within-material training
GTEX-1B8SF-0011-R1b-SM-7P8Q8,GTEx_v8_Hippocampus,GTEX-1B8SF,TRUE,2,Within-material training
GTEX-1B933-0011-R1b-SM-9QEGW,GTEx_v8_Hippocampus,GTEX-1B933,TRUE,2,Within-material training
GTEX-1B996-0011-R1b-SM-7P8PO,GTEx_v8_Hippocampus,GTEX-1B996,TRUE,2,Within-material test
GTEX-1BAJH-0011-R1a-SM-7P8SV,GTEx_v8_Hippocampus,GTEX-1BAJH,TRUE,2,Within-material training
GTEX-1C64N-0011-R1b-SM-7P8Q7,GTEx_v8_Hippocampus,GTEX-1C64N,TRUE,2,Within-material training
GTEX-1C6VQ-0011-R1a-SM-7P8Q2,GTEx_v8_Hippocampus,GTEX-1C6VQ,TRUE,2,Within-material training
GTEX-1C6VR-0011-R1a-SM-7MXUE,GTEx_v8_Hippocampus,GTEX-1C6VR,TRUE,2,Within-material training
GTEX-1CAV2-0011-R1a-SM-ARZML,GTEx_v8_Hippocampus,GTEX-1CAV2,TRUE,2,Within-material test
GTEX-1CB4G-0011-R1b-SM-9QEHT,GTEx_v8_Hippocampus,GTEX-1CB4G,TRUE,2,Within-material training
GTEX-1CB4J-0011-R1a-SM-9WG64,GTEx_v8_Hippocampus,GTEX-1CB4J,TRUE,2,Within-material training
GTEX-1E1VI-0011-R1a-SM-ARZMM,GTEx_v8_Hippocampus,GTEX-1E1VI,TRUE,2,Within-material training
GTEX-1E2YA-0011-R1b-SM-CJI29,GTEx_v8_Hippocampus,GTEX-1E2YA,TRUE,2,Within-material training
GTEX-1EH9U-0011-R1b-SM-CJI2B,GTEx_v8_Hippocampus,GTEX-1EH9U,TRUE,2,Within-material test
GTEX-1EKGG-0011-R1b-SM-9QEI1,GTEx_v8_Hippocampus,GTEX-1EKGG,TRUE,2,Within-material test
GTEX-1EMGI-0011-R1b-SM-9OSWZ,GTEx_v8_Hippocampus,GTEX-1EMGI,TRUE,2,Within-material training
GTEX-1EWIQ-0011-R1a-SM-9OSX7,GTEx_v8_Hippocampus,GTEX-1EWIQ,TRUE,2,Within-material training
GTEX-1EX96-0011-R1a-SM-CE6R5,GTEx_v8_Hippocampus,GTEX-1EX96,TRUE,2,Within-material training
GTEX-1F48J-0011-R1a-SM-9QEIC,GTEx_v8_Hippocampus,GTEX-1F48J,TRUE,2,Within-material training
GTEX-1F6I4-0011-R1a-SM-9OSWU,GTEx_v8_Hippocampus,GTEX-1F6I4,TRUE,2,Within-material training
GTEX-1F6IF-0011-R1b-SM-9WG78,GTEx_v8_Hippocampus,GTEX-1F6IF,TRUE,2,Within-material training
GTEX-1F75A-0011-R1b-SM-CE6RA,GTEx_v8_Hippocampus,GTEX-1F75A,TRUE,2,Within-material training
GTEX-1F75W-0011-R1a-SM-ARU81,GTEx_v8_Hippocampus,GTEX-1F75W,TRUE,2,Within-material training
GTEX-1GF9V-0011-R1a-SM-CKZNQ,GTEx_v8_Hippocampus,GTEX-1GF9V,TRUE,2,Within-material training
GTEX-1GF9W-0011-R1a-SM-9QEIQ,GTEx_v8_Hippocampus,GTEX-1GF9W,TRUE,2,Within-material training
GTEX-1GMR8-0011-R1b-SM-CJI2O,GTEx_v8_Hippocampus,GTEX-1GMR8,TRUE,2,Within-material training
GTEX-1GN1U-0011-R1a-SM-CJI25,GTEx_v8_Hippocampus,GTEX-1GN1U,TRUE,2,Within-material training
GTEX-1GN2E-0011-R1b-SM-CE6RJ,GTEx_v8_Hippocampus,GTEX-1GN2E,TRUE,2,Within-material training
GTEX-1GN73-0011-R1a-SM-CKZNT,GTEx_v8_Hippocampus,GTEX-1GN73,TRUE,2,Within-material training
GTEX-1GTWX-0011-R1a-SM-CE6RL,GTEx_v8_Hippocampus,GTEX-1GTWX,TRUE,2,Within-material training
GTEX-1GZ2Q-0011-R1a-SM-CJI2Y,GTEx_v8_Hippocampus,GTEX-1GZ2Q,TRUE,2,Within-material training
GTEX-1GZHY-0011-R1a-SM-CE6RR,GTEx_v8_Hippocampus,GTEX-1GZHY,TRUE,2,Within-material training
GTEX-1H1CY-0011-R1a-SM-CKZOZ,GTEx_v8_Hippocampus,GTEX-1H1CY,TRUE,2,Within-material training
GTEX-1H1DG-0011-R1b-SM-CKZP1,GTEx_v8_Hippocampus,GTEX-1H1DG,TRUE,2,Within-material training
GTEX-1H1ZS-0011-R1b-SM-A9G1E,GTEx_v8_Hippocampus,GTEX-1H1ZS,TRUE,2,Within-material training
GTEX-1H23P-0011-R1a-SM-ACKVC,GTEx_v8_Hippocampus,GTEX-1H23P,TRUE,2,Within-material training
GTEX-1H3NZ-0011-R1a-SM-CKZP5,GTEx_v8_Hippocampus,GTEX-1H3NZ,TRUE,2,Within-material training
GTEX-1H3O1-0011-R1b-SM-CL554,GTEx_v8_Hippocampus,GTEX-1H3O1,TRUE,2,Within-material training
GTEX-1H3VE-0011-R1a-SM-A9G1K,GTEx_v8_Hippocampus,GTEX-1H3VE,TRUE,2,Within-material training
GTEX-1H4P4-0011-R1b-SM-CL54V,GTEx_v8_Hippocampus,GTEX-1H4P4,TRUE,2,Within-material training
GTEX-1HBPI-0011-R1b-SM-A9SKF,GTEx_v8_Hippocampus,GTEX-1HBPI,TRUE,2,Within-material training
GTEX-1HGF4-0011-R1a-SM-CJI3S,GTEx_v8_Hippocampus,GTEX-1HGF4,TRUE,2,Within-material training
GTEX-1HR98-0011-R1a-SM-ARZLQ,GTEx_v8_Hippocampus,GTEX-1HR98,TRUE,2,Within-material test
GTEX-1HSKV-0011-R1b-SM-CMKH7,GTEx_v8_Hippocampus,GTEX-1HSKV,TRUE,2,Within-material training
GTEX-1HSMO-0011-R1a-SM-CM2SV,GTEx_v8_Hippocampus,GTEX-1HSMO,TRUE,2,Within-material training
GTEX-1HT8W-0011-R1b-SM-CJI3V,GTEx_v8_Hippocampus,GTEX-1HT8W,TRUE,2,Within-material training
GTEX-1I1GQ-0011-R1a-SM-CY8GG,GTEx_v8_Hippocampus,GTEX-1I1GQ,TRUE,2,Within-material training
GTEX-1I1GS-0011-R1a-SM-CJI43,GTEx_v8_Hippocampus,GTEX-1I1GS,TRUE,2,Within-material test
GTEX-1I1GV-0011-R1a-SM-CL559,GTEx_v8_Hippocampus,GTEX-1I1GV,TRUE,2,Within-material training
GTEX-1I1HK-0011-R1b-SM-CM2T7,GTEx_v8_Hippocampus,GTEX-1I1HK,TRUE,2,Within-material training
GTEX-1ICLZ-0011-R1b-SM-A9SM3,GTEx_v8_Hippocampus,GTEX-1ICLZ,TRUE,2,Within-material test
GTEX-1IDJH-0011-R1b-SM-ARU6U,GTEx_v8_Hippocampus,GTEX-1IDJH,TRUE,2,Within-material training
GTEX-1IKK5-0011-R1b-SM-CE6SQ,GTEx_v8_Hippocampus,GTEX-1IKK5,TRUE,2,Within-material training
GTEX-1IOXB-0011-R1a-SM-D4P27,GTEx_v8_Hippocampus,GTEX-1IOXB,TRUE,2,Within-material training
GTEX-1IY9M-0011-R1a-SM-EXURZ,GTEx_v8_Hippocampus,GTEX-1IY9M,TRUE,2,Within-material training
GTEX-1J1OQ-0011-R1a-SM-A9G1Z,GTEx_v8_Hippocampus,GTEX-1J1OQ,TRUE,2,Within-material training
GTEX-1J8Q2-0011-R1a-SM-D4P2D,GTEx_v8_Hippocampus,GTEX-1J8Q2,TRUE,2,Within-material training
GTEX-1LB8K-0011-R1b-SM-EZ6MV,GTEx_v8_Hippocampus,GTEX-1LB8K,TRUE,2,Within-material training
GTEX-1LG7Y-0011-R1a-SM-EYYWV,GTEx_v8_Hippocampus,GTEX-1LG7Y,TRUE,2,Within-material training
GTEX-N7MS-0011-R1a-SM-2HMJG,GTEx_v8_Hippocampus,GTEX-N7MS,TRUE,2,Within-material training
GTEX-N7MT-0011-R1a-SM-CNPO1,GTEx_v8_Hippocampus,GTEX-N7MT,TRUE,2,Within-material training
GTEX-NL3H-0011-R1a-SM-48TDJ,GTEx_v8_Hippocampus,GTEX-NL3H,TRUE,2,Within-material training
GTEX-NPJ7-0011-R1a-SM-3GACT,GTEx_v8_Hippocampus,GTEX-NPJ7,TRUE,2,Within-material training
