"GroupID","RowOrder","PXD","SampleGroup","Category","Source","ReferenceKey","SampleSelection","EvidenceStatus","AssayAndUnits","Limitations","EvidenceURL","AnalysisReady","PriorSource","ReviewDate","InclusionBasis","TeacherColor","TeacherMeaning","SelectedUnitsN","ObservationUnit","ReplicateAssessment","ReviewAction","PrimaryErrorBarEligible","ProposedReplacementSource","ProposedReplacementSamples","ProposedReplacementStatus"
"KLA31_11",11,"PXD066054","prostate cancer","cancer_tissue","TCGA-PRAD","TCGA_PRAD_primary","Primary Tumor; UUID pending","cohort_candidate","GDC bulk RNA; STAR counts/TPM","核对组织学、术前治疗和独立病例；不预填499例。","https://portal.gdc.cancer.gov/projects/TCGA-PRAD",FALSE,"TCGA-PRAD","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","unmarked","not opened by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_12",12,"PXD075377","HCC","cancer_tissue","TCGA-LIHC","TCGA_LIHC_primary","Primary Tumor; UUID pending","cohort_candidate","GDC bulk RNA; STAR counts/TPM","核对HCC组织学及治疗；不预填371例；与本项目蛋白组不是同受试者。","https://portal.gdc.cancer.gov/projects/TCGA-LIHC",FALSE,"TCGA-LIHC","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","unmarked","not opened by teacher",,"independent donor/case after clinical filtering and aliquot deduplication","sample lock pending","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_13",14,"PXD060185","MCF7","cancer_cells","DepMap","DepMap_MCF7","ACH-000019","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","MCF7身份核实；固定同一release、Model及OmicsProfiles后才能锁定表达行和是否log2(TPM+1)。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000019",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_14",15,"PXD028488","HCT116","cancer_cells","DepMap","DepMap_HCT116","ACH-000971","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","HCT116身份核实；与另外两组共享RNA参照，不构成三份独立转录组。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000971",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_15",16,"PXD053474","HCT116","cancer_cells","DepMap","DepMap_HCT116","ACH-000971","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","同一HCT116外部基线；全细胞RNA不能视为亚细胞分画匹配。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000971",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_16",17,"PXD066351","HCT116 control and Roseburia co-culture","cancer_cells","DepMap","DepMap_HCT116","ACH-000971","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","只代表外部基线；不能代表Roseburia共培养，蛋白组混合条件保持原状。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000971",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_17",18,"PXD028488","TALL-104","cancer_cells","GSE163787","GSE163787_TALL104","GSM4987488; SRX9725233","material_verified","TruSeq Stranded mRNA bulk; FPKM","真正bulk子系列，不是混合细胞scRNA伪bulk；仅一个TALL104库，不能估计组内生物变异；混合物种参考需只取人类Ensembl。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163787",FALSE,"GSE163787","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"selected GEO sample; biological independence must be confirmed","below preferred n=3","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_18",19,"PXD050147","HepG2 WT and SIRT1 or SIRT3 KO","cancer_cells","DepMap","DepMap_HepG2","ACH-000739","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","修正原ACH-000657；外部亲本基线不匹配SIRT1/3 KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000739",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_19",20,"PXD054919","A549","cancer_cells","DepMap","DepMap_A549","ACH-000681","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","模型ID正确；原备用ENCODE指向H1应移除。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000681",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_20",21,"PXD060185","MDA-MB-468","cancer_cells","DepMap","DepMap_MDAMB468","ACH-000849","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","MDA-MB-468模型ID核实；固定release及表达profile。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000849",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_21",22,"PXD060185","T-47D","cancer_cells","DepMap","DepMap_T47D","ACH-000147","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","修正原ACH-000934；亲本癌细胞并不意味着所有基因野生型。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000147",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_22",23,"PXD063266","PC-3M","cancer_cells","GSE235595","GSE235595_PC3M_DMSO","GSM7506018;GSM7506019;GSM7506020","material_verified","bulk RNA-seq; hg19; processed transcript counts indexed by RefSeq NM","Exact PC-3M cell identity, DMSO 4-day controls. Exclude KMI169 and KMI169Ctrl. RefSeq NM must map through versioned stable identifiers to Ensembl/Entrez; not a symbol join. Matrix not yet validated.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235595",FALSE,"GSE143451","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_23",24,"PXD070007","glioblastoma stem cells","cancer_cells","GSE266884","GSE266884_MES28_shMCT1Control","GSM8255530;GSM8255531","material_verified","bulk RNA-seq; SMARTER mRNA; hg38; reported FPKM (verify quantifier units)","Same paper as PXD069969/PXD070007; exact MES28 model only, not all six GSC models. shMCT1 control vector; separate shKU70 controls GSM8255534/35 are alternatives, not automatically four independent replicates. Do not use MES28 RNA for NSC. No matrix acceptance yet.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266884;https://doi.org/10.1038/s41556-025-01839-y",FALSE,"GSE119834","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",2,"two MES28 shMCT1 control libraries; do not pool shKU70 controls","below preferred n=3","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
"KLA31_24",25,"PXD078013","RKO WT and GSK3B KO","cancer_cells","DepMap","DepMap_RKO","ACH-000943","model_id_verified","bulk; DepMap Public 24Q4; OmicsExpressionProteinCodingGenesTPMLogp1.csv (source scale)","修正原ACH-000742；外部基线不能代表GSK3B KO。 DepMap Public 24Q4 expression, Model and OmicsProfiles files were downloaded and passed published MD5 checks; retain source scale and resolve duplicate stable-ID columns before analysis.","https://depmap.org/portal/cell_line/ACH-000943",FALSE,"DepMap","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","yellow","condition uncertain",1,"one model-level expression profile; not biological replicates","below preferred n=3","background only; seek >=3 matched biological RNA-seq replicates; check parental versus KO/infection/co-culture",FALSE,"","",""
"KLA31_25",28,"PXD028488","HEK293T","normal_cells","GSE203529","GSE203529_HEK293T_WT","GSM6175912;GSM6175918;GSM6175922 (WT untreated HEK293T)","material_verified","human bulk stranded mRNA; source RSEM gene-level expected_count, TPM and FPKM; versioned Ensembl IDs","Three WT untreated HEK293T RSEM gene-result files are present in the GEO archive. Exclude IFN-beta and all ZAPL/ZAPS knockout samples; strip Ensembl version only under a recorded mapping rule.","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203529",FALSE,"GSE203529","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_26",29,"PXD028737","HMC3","normal_cells","GSE275256","GSE275256_HMC3_vehicle","GSM8473662;GSM8473663;GSM8473664","material_verified","human bulk polyA; STAR counts/TPM; GENCODE40","vehicle基线；排除SLO。是HMC3永生化模型而非原代小胶质。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE275256",FALSE,"GSE275256","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_27",30,"PXD058534","pretreated HK-2","normal_cells","GSE269418","GSE269418_HK2_normoxia_solvent","GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297","material_verified","human bulk polyA; Salmon; Ensembl111","5个常氧溶剂24h对照候选；排除BAY/缺氧/TGF；不能代表原pretreatment条件；与下一组共享参照。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269418",FALSE,"GSE269418","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","red","incorrect per teacher",5,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","exclude old source from primary candidate; overnight serum starvation and mixed solvent control; seek replacement",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","three source files inspected; gene-prefixed labels need versioned stable-ID mapping; independent culture verification pending"
"KLA31_28",31,"PXD078736","HK-2 control and mannitol","normal_cells","GSE269418","GSE269418_HK2_normoxia_solvent","GSM8315283;GSM8315284;GSM8315285;GSM8315286;GSM8315297","material_verified","human bulk polyA; Salmon; Ensembl111","共享HK2基线；不是mannitol条件匹配，甘露醇也不自动等于无扰动。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE269418",FALSE,"GSE269418","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","red","incorrect per teacher",5,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","exclude old source from primary candidate; overnight serum starvation and mixed solvent control; seek replacement",FALSE,"GSE240748","GSM7708662;GSM7708663;GSM7708664","three source files inspected; gene-prefixed labels need versioned stable-ID mapping; independent culture verification pending"
"KLA31_29",32,"PXD060185","MCF10A","normal_cells","GSE103520","GSE103520_MCF10A_control","GSM2773021;GSM2773022;GSM2773023","material_verified","human bulk; Ovation cDNA; FPKM diff files","3个未处理MCF10A；排除其他细胞及转染。处理diff文件不是原始counts，优先获取完整表达或原始reads。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE103520",FALSE,"GSE103520","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",3,"selected GEO sample; biological independence must be confirmed","nominal n>=3; verify independent units","retain candidate; lock sample identity/independence and complete QC",FALSE,"","",""
"KLA31_30",33,"PXD070007","neural stem cells","normal_cells","GSE119834","GSE119834_NSC","GSM3384847-GSM3384855","approximate","human bulk; FPKM","9个NSC库；对应本项目两个具体NSC模型和发育年龄尚未证明，作为外部NSC面板。","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE119834",FALSE,"GSE119834","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",9,"nine NSC libraries; model/donor/culture hierarchy unresolved","nominal n>=3; verify independent units","teacher green retained; confirm model/donor hierarchy before treating nine libraries as n=9",FALSE,"","",""
"KLA31_31",34,"PXD073311","HUVEC control and Pg infection","normal_cells","ENCSR000COZ","ENCODE_ENCSR000COZ","released whole-cell long polyA RNA; file IDs pending","material_verified","human HUVEC whole-cell bulk polyA","官方元数据确认HUVEC全细胞；继续锁定donor/replicates/file assembly；未感染基线不代表Pg感染条件。","https://www.encodeproject.org/experiments/ENCSR000COZ/",FALSE,"ENCSR000COZ","2026-09-15","same anatomical tissue and sampling class; condition differences recorded separately","green","passed by teacher",2,"two released files; donor independence unverified; n cannot exceed 2","below preferred n=3","below preferred n=3; descriptive fallback only while seeking independent matched replicates",FALSE,"","",""
