"GroupID","RouteTier","RouteSource","InputUnit","StableAnalysisID","WhyThisRoute","CrossSourceMerge","AnalysisReady"
"KLA31_12","source_release_quantification","GDC TCGA-LIHC STAR Counts","STAR gene-count fields","Ensembl gene ID","HCC remains TCGA-LIHC Primary Tumor.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_13","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_14","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_15","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_16","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_17","source_native_gene_matrix","GSE163787 4cell FPKM matrix","FPKM","Ensembl gene ID","Exact TALL-104 matrix exists, but has one bulk library only.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_18","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_19","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_20","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_21","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_22","strict_raw_reprocess","GSE235595 selected ENA FASTQ","FASTQ to one declared gene-count/TPM pipeline","Ensembl gene ID","No source matrix contains the selected DMSO PC-3M controls.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_23","source_native_gene_matrix","GSE266884 MES28 MCT1 core table","reported read_count columns","Entrez gene ID","Selected MES28 control columns are supplied in the study table.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_24","source_release_quantification","DepMap Public 24Q4 protein-coding expression","TPMLogp1 as distributed","Entrez ID parsed from DepMap header","Fixed shared cell-line reference release.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_25","source_native_gene_matrix","GSE203529 WT untreated RSEM gene results","RSEM expected_count, TPM and FPKM","Ensembl gene ID","Three WT untreated HEK293T RSEM gene-result files are supplied in the GEO archive.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_26","source_native_gene_matrix","GSE275256 STAR readcount matrix","STAR gene readcount","Ensembl gene ID","Selected vehicle columns are supplied in the STAR count matrix.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_27","source_native_gene_matrix","GSE269418 reported raw-count matrix","reported raw-count matrix","Ensembl gene ID","Selected normoxia solvent-control columns are supplied in the matrix.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_28","source_native_gene_matrix","GSE269418 reported raw-count matrix","reported raw-count matrix","Ensembl gene ID","The same verified HK-2 control matrix is shared with KLA31_27.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_29","uniform_recount3_gene_counts","recount3 SRP117021 G026","gene counts","Ensembl gene ID","All 12 selected untreated MCF10A SRRs are present in the same recount3 gene-count matrix.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_30","uniform_recount3_gene_counts","recount3 SRP161553 G026","gene counts","Ensembl gene ID","All nine selected NSC SRRs are present in the same recount3 gene-count matrix; biological-model mismatch remains.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
"KLA31_31","source_release_quantification","ENCODE ENCSR000COZ RSEM quantifications","RSEM gene quantification","Ensembl gene ID","Released replicate quantifications are already downloaded from ENCODE.","No; retain source units and use only a predeclared cross-source summary layer.",FALSE
