GroupID,PXD,SampleGroup,ReferencePXD,ReferenceEvidenceFile,NamingBasis,MaterialAssessment,ReadinessCaveat,EvidenceURL
KLA31_11,PXD066054,prostate cancer,PXD066054,data/PXD066054/search_results/extracted/DA/Protein_Quant.tsv,Same-study PCa1-PCa5 samples,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD066054
KLA31_12,PXD075377,HCC,PXD065775,data/PXD065775/search_results/20170330_01-24_patients_iTRAQ.xlsx,Independent CISs HCC cohort,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD065775
KLA31_13,PXD060185,MCF7,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_14,PXD028488,HCT116,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_15,PXD053474,HCT116,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Kla subcellular fractionation with independent baseline reference,consistent_with_registered_material,Same HCT116 model; whole-cell background is not matched subcellular fractionation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_16,PXD066351,HCT116 control and Roseburia co-culture,PXD066351,data/PXD066351/search_results/XB01472B1DA-Protein_Quant.tsv,Same-study matched ordinary-proteome conditions,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD066351
KLA31_17,PXD028488,TALL-104,PXD028488,data/PXD028488/search_results/Nonenrichment-Search files/TALL-Nonenrichment-Search files/proteins.csv,Same-study lactate-exposed non-enriched arm,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD028488
KLA31_18,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,PXD050147,data/PXD050147/search_results/SIRT_proteinGroups.txt,Same-study protein background with matched genotypes,consistent_with_registered_material,Nine pro-labelled protein replicates and paper protein normalization support whole-proteome arm; source raw-to-pro mapping not independently reconstructed.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD050147
KLA31_19,PXD054919,A549,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_20,PXD060185,MDA-MB-468,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_21,PXD060185,T-47D,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_22,PXD063266,PC-3M,PXD022005,data/PXD022005/search_results/txt_proteomics.zip,Independent heavy-channel SILAC reference,consistent_with_registered_material,Heavy SILAC PC-3M channel; not PC-3 light channel. Aggregate rather than independent sample replication.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD022005
KLA31_23,PXD070007,glioblastoma stem cells,PXD069969,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,Same six GSC models,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD069969
KLA31_24,PXD078013,RKO WT and GSK3B KO,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_protein_matrix_6692_averaged.txt,Independent untreated cell-line baseline,consistent_with_registered_material,Atlas technical replicates/averaged model profiles; not independent biological replicates.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_25,PXD028488,HEK293T,PXD030304,data/PXD030304/search_results/ProCan-DepMapSanger_peptide_counts_per_protein_per_sample.txt,Independent control-lysate reference,consistent_with_registered_material,"401 process-control lysate run entries, not 401 biological samples; detection background only.",https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD030304
KLA31_26,PXD028737,HMC3,PXD028737,data/PXD028737/search_results/extracted_reference/txt/proteinGroups.txt,Same-study H0-H24 conditions,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD028737
KLA31_27,PXD058534,pretreated HK-2,PXD072220,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,"Kla condition verified from Nature Communications 2025, DOI 10.1038/s41467-025-66991-3; independent untreated baseline reference",cell_identity_consistent_sample_alias_pending,amostra1/3/4 assumed to be Control_1/3/4; explicit rename manifest not found. Both Kla groups reuse the same reference.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD072220
KLA31_28,PXD078736,HK-2 control and mannitol,PXD072220,data/PXD072220/search_results/HK-2_Spectronaut-report_PG_Quantity.txt,"Kla conditions verified from JCI 2026, DOI 10.1172/JCI201848; independent untreated baseline reference",cell_identity_consistent_sample_alias_pending,amostra1/3/4 assumed to be Control_1/3/4; explicit rename manifest not found. Both Kla groups reuse the same reference.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD072220
KLA31_29,PXD060185,MCF10A,PXD002400,data/PXD002400/search_results/msms.zip,Independent cell-line baseline,consistent_with_registered_material,HIGH: actual parameters.txt Protein FDR=1; peptide FDR=0.01. Current evidence parser has no protein-level FDR gate. Reprocess or replace for harmonized protein-level background.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD002400
KLA31_30,PXD070007,neural stem cells,PXD069969,data/PXD069969/search_results/SA206LQB1_Annotation.xlsx,Same two NSC models,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD069969
KLA31_31,PXD073311,HUVEC control and Pg infection,PXD073311,data/PXD073311/search_results/extracted_pairing/IPX0015307001_Database_search_result/Database_search_result/report.pg_matrix.tsv,Same-study A0h ordinary-proteome baseline,consistent_with_registered_material,Material review only; not a new statistical or protein-inference validation.,https://proteomecentral.proteomexchange.org/cgi/GetDataset?ID=PXD073311
