RowOrder,PXD,SampleGroup,KlaSampleCount,KlaSampleIDs,ReferencePXD,ReferenceSampleCount,ReferenceSampleIDs,CountingBasis,Notes
11,PXD066054,prostate cancer,5,PCa1;PCa2;PCa3;PCa4;PCa5,PXD066054,5,PCa1;PCa2;PCa3;PCa4;PCa5,biological samples,Matched PCa1-PCa5 sample columns.
12,PXD075377,HCC,1,HCC_pool,PXD065775,8,CISs: Non-rec1-Non-rec4;Rec1-Rec4,single-patient iTRAQ channel versus reference cohort,The Kla source is one pooled iTRAQ HCC channel; the reference CISs sheet has eight source channels.
14,PXD060185,MCF7,1,A,PXD030304,1,MCF7_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),"The Kla source has one MCF7 material; the reference is a cell-line-level averaged profile, not independent biological replicates."
15,PXD028488,HCT116,1,HCT116_dataset_union,PXD030304,1,HCT116_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),One HCT116 material; enrichment runs are not biological replicates.
16,PXD053474,HCT116,1,HCT116_dataset_union,PXD030304,1,HCT116_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),One HCT116 material measured across subcellular fractions and acquisition modes; the 22 runs are not biological replicates.
17,PXD066351,HCT116 control and Roseburia co-culture,2,NC116;R116,PXD066351,2,NC116;R116,experimental conditions,One control condition and one Roseburia co-culture condition.
18,PXD028488,TALL-104,3,Sample 1;Sample 2;Sample 3,PXD028488,3,Sample 1;Sample 2;Sample 3,biological samples,The deposited enrichment and non-enrichment protein tables both contain Sample 1-Sample 3.
19,PXD050147,HepG2 WT and SIRT1 or SIRT3 KO,9,WT_rep1;WT_rep2;WT_rep3;SIRT1KO_rep1;SIRT1KO_rep2;SIRT1KO_rep3;SIRT3KO_rep1;SIRT3KO_rep2;SIRT3KO_rep3,PXD050147,9,WT_pro_rep1;WT_pro_rep2;WT_pro_rep3;SIRT1KO_pro_rep1;SIRT1KO_pro_rep2;SIRT1KO_pro_rep3;SIRT3KO_pro_rep1;SIRT3KO_pro_rep2;SIRT3KO_pro_rep3,biological replicates by genotype,Three genotypes with three replicates each.
20,PXD054919,A549,3,A549-1;A549-2;A549-3,PXD030304,1,A549_aggregate,biological samples versus cell-line aggregate,The Kla supplementary table has three A549 samples; the reference is one averaged cell-line profile.
21,PXD060185,MDA-MB-468,1,B,PXD030304,1,MDA-MB-468_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),The reference is a cell-line-level averaged profile.
22,PXD060185,T-47D,1,D,PXD030304,1,T-47D_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),The reference is a cell-line-level averaged profile.
23,PXD063266,PC-3M,3,1;2;3,PXD022005,2,1st (heavy);2nd (heavy),biological replicates versus two SILAC biological replicates,Reference proteinGroups.txt carries two H/L SILAC biological replicates (1st/2nd); the reference fraction aggregates the heavy channels of both replicates.
24,PXD070007,glioblastoma stem cells,6,G2907;G3028;G3264;GSC23;MES28;RKI,PXD069969,6,G2907;G3028;G3264;GSC23;MES28;RKI,cell models,Each named GSC model is one source observation.
25,PXD078013,RKO WT and GSK3B KO,4,sg_1;sg_2;sg737_1;sg737_2,PXD030304,1,RKO_aggregate,experimental conditions versus cell-line aggregate,Two WT and two GSK3B-KO conditions; the reference is one averaged RKO profile.
28,PXD028488,HEK293T,1,HEK293T_dataset_union,PXD030304,1,HEK293T_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),"Five HCD methods and enriched/non-enriched runs are technical/method-level observations, not biological replicates."
29,PXD028737,HMC3,2,H0;H24,PXD028737,2,H0;H24,experimental conditions,Normoxia H0 and hypoxia H24.
30,PXD058534,pretreated HK-2,1,HK2,PXD072220,3,amostra1;amostra3;amostra4,one deposited treated material (biological replicate count not verifiable) versus three untreated controls,The Kla source is one pretreated HK-2 material; the reference row uses the three untreated control samples.
31,PXD078736,HK-2 control and mannitol,6,ctr_1;ctr_2;ctr_3;man_1;man_2;man_3,PXD072220,3,amostra1;amostra3;amostra4,experimental conditions versus three untreated controls,The Kla source has three control and three mannitol conditions; the reference row uses untreated amostra1/3/4.
32,PXD060185,MCF10A,1,C,PXD002400,1,MCF10A_aggregate,one deposited analysis material (biological replicate count not verifiable from deposited data),"The reference is one cell-line material with duplicate LC-MS acquisition, not independent biological samples."
33,PXD070007,neural stem cells,2,ENSA;HMP1,PXD069969,2,ENSA;HMP1,cell models,Each named NSC model is one source observation.
34,PXD073311,HUVEC control and Pg infection,6,A0h_1;A0h_2;A0h_3;A6h_1;A6h_2;A6h_3,PXD073311,3,A0h_1;A0h_2;A0h_3,experimental conditions,"The reference uses the three A0h baseline samples, matching the frozen reference parser."
