"GroupIDs","ReferenceKey","GroupLabel","Category","SourceKind","SourcePath","SelectorType","SelectorValue","RunGroups","ExpectedN","SelectionNote"
"KLA31_17","GSE163787_TALL104","TALL-104","cancer_cells","single_ensembl_fpkm","raw/geo/GSE163787/supplement/GSE163787_4cell_fpkm.csv.gz","column","8486_Tall","",1,"Plan A: the only public unperturbed TALL-104 bulk RNA-seq library worldwide. n=1 descriptive reference; no within-group variance is estimable. Mixed-species table, human Ensembl rows only."
"KLA31_18","HepG2_DMSO24h","HepG2 WT and SIRT1 or SIRT3 KO","cancer_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE158552_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM4802741;GSM4802742;GSM4802743","",3,"DMSO 24-hour vehicle baseline; parental, not SIRT1/3 knockout."
"KLA31_19","GSE171750_A549_untreated","A549","cancer_cells","single_symbol_counts","raw/replicate_replacements/GSE171750/GSE171750_rsem_count.txt.gz","column","Control_1;Control_2;Control_3","",3,"Untreated A549 biological replicates. Author rows are gene symbols; converted through the official NCBI Symbol->GeneID->Ensembl route with no symbol used as an analysis key."
"KLA31_20","MDAMB468_DMSO7d","MDA-MB-468","cancer_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE157383_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM4763917;GSM4763918;GSM4763919","",3,"DMSO 7-day vehicle baseline; abemaciclib arm excluded."
"KLA31_21","GSE283812_T47D_vehicle","T-47D","cancer_cells","single_symbol_counts","raw/replicate_replacements/GSE283812/GSE283812_C48_RNAseq_raw_counts.txt.gz","column","rep1_0h_S60_R1_001_cut_rRNArem_sorted.bam;rep2_0h_S63_R1_001_cut_rRNArem_sorted.bam;rep3_0h_S66_R1_001_cut_rRNArem_sorted.bam;rep4_0h_S69_R1_001_cut_rRNArem_sorted.bam","",4,"The four selected GSMs (GSM8672552-55) are the DMSO vehicle arms: GEO characteristics label them 'DMSO (24 hrs)' while the author matrix calls those same columns '0h'. The four C48 drug columns are excluded. Author rows are gene symbols (space-delimited matrix, blank leading field); official NCBI Symbol->GeneID->Ensembl conversion only."
"KLA31_22","PC3M_DMSO","PC-3M","cancer_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE235595_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM7506018;GSM7506019;GSM7506020","",3,"DMSO 4-day vehicle baseline; KMI169 and KMI169Ctrl excluded."
"KLA31_23","GSE266884_MES28_vector_control","glioblastoma stem cells","cancer_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE266884_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM8255530;GSM8255531;GSM8255534;GSM8255535","",4,"Two shMCT1-Ctrl and two shKU70-Ctrl empty-vector samples pooled as unperturbed negative controls; no knockdown and no drug."
"KLA31_24","RKO_DMSO","RKO WT and GSK3B KO","cancer_cells","single_ensembl_counts","raw/replicate_replacements/GSE318640/GSE318640_Expression_matrix.txt.gz","column","C1_count;C2_count;C3_count","",3,"DMSO control arm; EZA arm excluded. Parental, not GSK3B knockout."
"KLA31_25","GSE203529_HEK293T_WT","HEK293T","normal_cells","rsem_per_sample","raw/geo/GSE203529/supplement/GSE203529_RAW.tar","member","GSM6175912;GSM6175918;GSM6175922","",3,"WT untreated HEK293T; all IFN-beta and ZAPL/ZAPS knockout samples excluded."
"KLA31_26","GSE275256_HMC3_vehicle","HMC3","normal_cells","annotated_star_counts","raw/geo/GSE275256/supplement/GSE275256_summary_star_genes_readcount.stranded.annotated.tsv.gz","column","VEH_1;VEH_2;VEH_3","",3,"DMSO vehicle baseline; the SLO drug-combination arm is excluded. Immortalised HMC3 model, not primary microglia."
"KLA31_27","HK2_untreated","pretreated HK-2","normal_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE240748_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM7708662;GSM7708663;GSM7708664","",3,"Untreated normoxic HK-2 baseline; BAY, hypoxia and TGF arms excluded. Does not represent the original pretreatment condition."
"KLA31_28","HK2_untreated","HK-2 control and mannitol","normal_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE240748_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM7708662;GSM7708663;GSM7708664","",3,"Shared HK-2 baseline with KLA31_27; not a mannitol condition match."
"KLA31_29","GSE103520_MCF10A_control","MCF10A","normal_cells","recount3_runs","raw/recount3_candidate/sra.gene_sums.SRP117021.G026.gz","run_sum","GSM2773021;GSM2773022;GSM2773023","SRR6008016|SRR6008017|SRR6008018|SRR6008019;SRR6008020|SRR6008021|SRR6008022|SRR6008023;SRR6008024|SRR6008025|SRR6008026|SRR6008027",3,"Untreated MCF10A controls; four sequencing runs were summed per GSM. All BT474/BT549/MCF7 PcTF-transfection arms excluded. The author GSE103520 diff table contains no MCF10A sample and is not used as an expression matrix."
"KLA31_30","GSE119834_NSC","neural stem cells","normal_cells","ncbi_counts","raw/ncbi_counts_round3_20260915/GSE119834_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM3384847;GSM3384849;GSM3384850;GSM3384851;GSM3384852;GSM3384853;GSM3384854;GSM3384855","",8,"Untreated human neural stem cell libraries. The NCBI reprocessed Entrez count table is used instead of the author's gene-symbol FPKM table (stable IDs, no symbol join) and instead of de-novo read requantification. GSM3384848 is absent from the NCBI reprocessed table."
"KLA31_31","HUVEC_untreated","HUVEC control and Pg infection","normal_cells","ncbi_counts","raw/ncbi_counts_20260915/GSE203551_raw_counts_GRCh38.p13_NCBI.tsv.gz","gsm","GSM6176178;GSM6176183;GSM6176188;GSM6176193","",4,"Unstimulated, untreated passage-3 HUVEC; Pg infection arm excluded."
